"id","piping_class_id","section_no","piping_component_id","valve_id","size_desc","description","created_at","updated_at"
12,1,0,43,,"54"" & LARGER","REINFORCED CONCRETE PIPE ASTM C76, WITH RESILIENT JOINT (NEOPRENE GASKET) : CLASS V, WALL C, BELL & SPIGOT 12 FT LENGTHS",,
13,1,0,51,,"ALL","SEE DETAIL DRAWING LA-0100-231 (C.P. ONLY)",,
14,1,0,58,,"ALL","DUCTILE IRON BODY WITH SBR RUBBER GASKET, ROMAC NO. 501 OR EQUAL (SPECIFY PIPE O.D. EACH END)",,
15,2,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
16,2,0,13,,"1/2"" - 4""","FORGED STEEL SCREWED ASTM A105 ANSI B16.11 : CLASS 2000",,
17,2,0,16,,"1/2"" - 4""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : SCREWED",,
18,2,0,20,,"ALL","1/16"" THICK COMPRESSED ASBESTOS DURABLA BLACK OR EQUAL (FOR LAR ONLY)",,
19,2,0,20,,"ALL","1/16"" THICK FLEXIBLE GRAPHITE SHEET WITH 316SS TANG METAL INSERT, UNION CARBIDE GHE OR EQUAL (FOR CP ONLY)",,
20,2,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
21,2,0,43,,"2"" - 4""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : STD WEIGHT",,
22,2,0,65,,"1/2"" - 3""","FORGED STEEL SCREWED ASTM A105 : CLASS 3000, INTEGRAL SEAT",,
23,2,0,65,,"4"" ONLY","FORGED STEEL SCREWED ASTM A105 : NOT ALLOWED - USE CLASS 150 FLANGES",,
24,3,0,6,,"ALL","ASTM A307 GR B MACHINE BOLT WITH ASTM A194 GR 2H HEAVY HEXNUT",,
25,3,0,7,,"ALL","USE FITTINGS (VICTAULIC)",,
26,3,0,13,,"3"" - 10""","CAST DUCTILE IRON, GROOVED ENDS FOR VICTAULIC COUPLINGS, ASTM A536 : STD WEIGHT",,
27,3,0,14,,"3"" - 10""","CARBON STEEL, GROOVED/CLASS 150 FLAT FACE FLANGED, ASTM A105/ASTM A53 GR B, VICTAULIC #45 : STD WEIGHT",,
28,3,0,16,,"3"" - 10""","CLASS 150 STEEL ASTM A105, ASME B16.5 : SLIP-ON, RAISED FACE",,
29,3,0,16,,"3"" - 10""","CLASS 150 STEEL ASTM A105, ASME B16.5 : SLIP-ON, FLAT FACE",,
30,3,0,20,,"ALL","1/8"" THICK NATURAL RUBBER, GARLOCK OR EQUAL",,
31,3,0,32,3,"3"" & LARGER","CLASS 125 CAST SEMI-STEEL : RAISED FACE FLANGED",,
32,3,0,33,,"3"" - 10""","CAST DUCTILE IRON ASTM A536 W/GR E GASKET, BOLTS & NUTS : VICTAULIC #77",,
33,3,0,43,,"3"" - 10""","WELDED STEEL, ASTM A53 GR B OR API 5L GR B, GROOVED ENDS FOR VICTAULIC COUPLINGS, ASME B36.10M : STD WEIGHT",,
34,3,0,44,,"3"" - 10""","CARBON STEEL, GROOVED/BEVELED ASTM A53 GR B, VICTAULIC #42 : STD WEIGHT",,
35,4,0,1,12,"1/2"" - 3""","150 PSIG SOLID PVC : SOCKETWELD",,
36,4,0,6,,"ALL","ASTM A307 GR B MACHINE BOLT WITH ASTM A194 GR 2H HEAVY HEX NUT",,
37,4,0,7,,"ALL","USE TEES AND REDUCING BUSHINGS",,
38,4,0,10,8,"1/2"" - 4""","150 PSIG SOLID PVC : SOCKETWELD",,
39,4,0,13,,"1/2"" - 8""","SOLID PVC SOCKETWELD, TYPE 1 (CLASS 12454-B), GR 1,ASTM D-2467 : SCHEDULE 80 BORE",,
40,4,0,16,,"1/2"" - 12""","CLASS 125 SOLID PVC FLAT FACE, TYPE 1 (CLASS 12454-B) GR 1 ASTM D-2467 : SOCKETWELD, SCHEDULE 80 BORE",,
41,4,0,16,,"1/2"" - 12""","CLASS 125 SOLID PVC FLAT FACE, TYPE 1 (CLASS 12454-B) GR 1 ASTM D-2467 : BLIND",,
42,4,0,20,,"ALL","ETHYLENE PROPYLENE RUBBER (EPDM) 1/8"" THICK",,
43,4,0,29,,"ALL","SOLVENT CEMENT PVC, ASTM D-2564",,
44,4,0,43,,"1/2"" - 12""","SEAMLESS SOLID PVC, TYPE 1 (CLASS 12454-B), GR 1,ASTM D-1784 : SCHEDULE 80",,
45,4,0,67,,"ALL","FLAT CUT STEEL (USE FOR ALL 1/2"" AND LARGER JOINTS AT BOTH HEAD AND NUT)",,
46,5,0,1,103,"1/2"" -1-1/2""","CLASS 150 STEEL RF FLGD (400F MAX) : TFE SEAT, FLOATING BALL, WR OPR",,
47,5,0,1,103,"2"" - 4""","CLASS 150 STEEL RF FLGD (400F MAX) : TFE SEAT, FLOATING BALL, WR OPR",,
48,5,0,1,103,"6"" - 8""","CLASS 150 STEEL RF FLGD (400F MAX) : TFE SEAT, FLOATING BALL, GR OPR",,
49,5,0,1,218,"1/2"" - 4""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, WR OPR",,
50,5,0,1,218,"6"" ONLY","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, GR OPR",,
51,5,0,1,360,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (400F MAX) : TFE SEAT, SOCKETWELD, WR OPR",,
52,5,0,1,361,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (400F MAX) : TFE SEAT, SW/SCRD, WR OPR",,
53,5,0,4,402,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
54,5,0,4,403,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
55,5,0,4,39,"1/2""-1-1/2""","CLASS 150 STEEL : RAISED FACE FLGD. API 602",,
56,5,0,4,39,"2"" ONLY","CLASS 150 STEEL : RAISED FACE FLANGED",,
57,5,0,5,438,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
58,5,0,5,64,"2"" ONLY","CLASS 150 STEEL : RAISED FACE FLANGED",,
59,5,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
60,5,0,7,,"ALL","SEE CHART BC-9",,
61,5,0,10,77,"2"" & LARGER","CLASS 150 STEEL : SWING, RAISED FACE FLANGED",,
62,5,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
63,5,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
64,5,0,13,,"2"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : STD WEIGHT",,
65,5,0,13,,"26"" & LARGER","WELDED STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
66,5,0,16,,"1/2"" - 1-1/2""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
67,5,0,16,,"2"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, STD WEIGHT BORE",,
68,5,0,16,,"2"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : REDUCING, SLIP-ON",,
69,5,0,16,,"1/2"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
70,5,0,16,,"26"" & LARGER","CLASS 150 STEEL RAISED FACE ASTM A105 MSS-SP 44 : WELDING NECK, BORE TO MATCH PIPE",,
71,5,0,16,,"26"" & LARGER","CLASS 150 STEEL RAISED FACE ASTM A105 MSS-SP 44 : BLIND",,
72,5,0,20,,"ALL","1/16"" THICK COMPRESSED ASBESTOS DURABLA BLACK OR EQUAL (FOR LAR ONLY)",,
73,5,0,20,,"ALL","1/16"" THICK FLEXIBLE GRAPHITE SHEET WITH 316SS TANG METAL INSERT, UNION CARBIDE GHE OR EQUAL (FOR CP ONLY)",,
74,5,0,21,15,"1/2"" - 1-1/2""","CLASS 150 STEEL : RAISED FACE FLANGED API 602",,
75,5,0,21,25,"2"" & LARGER","CLASS 150 STEEL : RAISED FACE FLANGED API 600",,
76,5,0,21,116,"1/2"" - 1-1/2""","CLASS 300 STEEL : RAISED FACE FLANGED API 602",,
77,5,0,21,126,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED API 600",,
78,5,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
79,5,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
80,5,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2""FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
81,5,0,24,54,"2"" - 12""","CLASS 150 STEEL : RAISED FACE FLANGED",,
82,5,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
83,5,0,39,100,"2"" & LARGER","CLASS 150 STEEL : RAISED FACE FLANGED, TFE SEAT",,
84,5,0,39,224,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED, TFE SEAT",,
85,5,0,39,353,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD",,
86,5,0,42,,"2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, STD WEIGHT BORE",,
87,5,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
88,5,0,43,,"2"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : STD WEIGHT",,
89,5,0,43,,"26"" & LARGER","EFW STEEL, ASTM A672, GRADE C65, CLASS 22 : CALC WALL THICKNESS (.375"" WALL MINIMUM)",,
90,5,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
91,5,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG. I-24502, PAGES I-14 THRU I-22.",,
92,5,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
93,5,0,61,91,"2"" - 36""","CLASS 150 STEEL : RAISED FACE FLANGED, VITON SEALS",,
94,5,0,63,92,"2"" - 36""","CLASS 150 STEEL : RAISED FACE FLANGED, GVM OR KALREZ SEALS",,
95,5,0,65,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105 : CLASS 3000, INTEGRAL SEAT",,
96,5,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
97,6,0,4,402,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
98,6,0,4,403,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
99,6,0,4,39,"1/2""-1-1/2""","CLASS 150 STEEL : RAISED FACE FLGD. API 602",,
100,6,0,4,39,"2"" ONLY","CLASS 150 STEEL : RAISED FACE FLANGED",,
101,6,0,5,438,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
102,6,0,5,64,"2"" ONLY","CLASS 150 STEEL : RAISED FACE FLANGED",,
103,6,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
104,6,0,7,,"ALL","SEE CHART BC-9",,
105,6,0,10,77,"2"" & LARGER","CLASS 150 STEEL : SWING, RAISED FACE FLANGED",,
106,6,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
107,6,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
108,6,0,13,,"2"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : STD WEIGHT",,
109,6,0,16,,"1/2"" - 1-1/2""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
110,6,0,16,,"2"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, STD WEIGHT BORE",,
111,6,0,16,,"1/2"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
112,6,0,20,,"ALL","SPIRAL WOUND TYPE 304SS WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
113,6,0,21,15,"1/2"" - 1-1/2""","CLASS 150 STEEL : RAISED FACE FLANGED API 602",,
114,6,0,21,25,"2"" & LARGER","CLASS 150 STEEL : RAISED FACE FLANGED API 600",,
115,6,0,21,116,"1/2"" - 1-1/2""","CLASS 300 STEEL : RAISED FACE FLANGED API 602",,
116,6,0,21,126,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED API 600",,
117,6,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
118,6,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
119,6,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
120,6,0,24,54,"2"" - 12""","CLASS 150 STEEL : RAISED FACE FLANGED",,
121,6,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
122,6,0,37,98,"2"" & LARGER","CLASS 150 STEEL : RAISED FACE FLANGED, METAL SEATED",,
123,6,0,37,222,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED, METAL SEATED",,
124,6,0,37,354,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD",,
125,6,0,42,,"2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, STD WEIGHT BORE",,
126,6,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
127,6,0,43,,"2"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : STD WEIGHT",,
128,6,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
129,6,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY).",,
130,6,0,49,,"ALL","FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22",,
131,6,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
132,6,0,65,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105 : CLASS 3000, INTEGRAL SEAT",,
133,6,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
134,7,0,4,402,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
135,7,0,4,403,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
136,7,0,4,23,"1/2""-1-1/2""","CLASS 150 STEEL(125-250 AARH FACING) : RAISED FACE FLGD. API 602",,
137,7,0,4,23,"2"" ONLY","CLASS 150 STEEL(125-250 AARH FACING) : RAISED FACE FLANGED",,
138,7,0,5,438,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
139,7,0,5,55,"2"" ONLY","CLASS 150 STEEL(125-250 AARH FACING) : RAISED FACE FLANGED",,
140,7,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
141,7,0,7,,"ALL","SEE CHART BC-9",,
142,7,0,10,76,"2"" & LARGER","CLASS 150 STEEL (125-250 AARH FACING) : SWING, RAISED FACE FLANGED",,
143,7,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
144,7,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
145,7,0,13,,"2"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : STD WEIGHT",,
146,7,0,13,,"26"" & LARGER","WELDED STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
147,7,0,16,,"1/2"" - 1-1/2""","CLASS 150 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105, ASME B16.5 : SOCKETWELD, XS BORE",,
148,7,0,16,,"2"" - 24""","CLASS 150 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105, ASME B16.5 : WELDING NECK, STD WEIGHT BORE",,
149,7,0,16,,"2"" - 24""","CLASS 150 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105, ASME B16.5 : REDUCING, SLIP-ON (NOT ALLOWED)",,
150,7,0,16,,"1/2"" - 24""","CLASS 150 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105, ASME B16.5 : BLIND",,
151,7,0,16,,"26"" & LARGER","CLASS 150 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105 MSS-SP 44 : WELDING NECK, BORE TO MATCH PIPE",,
152,7,0,16,,"26"" & LARGER","CLASS 150 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105 MSS-SP 44 : BLIND",,
153,7,0,20,,"ALL","SPIRAL WOUND TYPE 304SS WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
154,7,0,21,26,"1/2"" - 1-1/2""","CLASS 150 STEEL (125-250 AARH FACING) : RAISED FACE FLANGED API 602",,
155,7,0,21,24,"2"" & LARGER","CLASS 150 STEEL (125-250 AARH FACING) : RAISED FACE FLANGED API 600",,
156,7,0,21,127,"1/2"" - 1-1/2""","CLASS 300 STEEL (125-250 AARH FACING) : RAISED FACE FLANGED API 602",,
157,7,0,21,125,"2"" & LARGER","CLASS 300 STEEL (125-250 AARH FACING) : RAISED FACE FLANGED API 600",,
158,7,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
159,7,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
160,7,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
161,7,0,24,53,"2"" - 12""","CLASS 150 STEEL (125-250 AARH FACING) : RAISED FACE FLANGED",,
162,7,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
163,7,0,39,99,"2"" & LARGER","CLASS 150 STEEL (125-250 AARH FACING) : RAISED FACE FLANGED, TFE SEAT",,
164,7,0,39,223,"2"" & LARGER","CLASS 300 STEEL (125-250 AARH FACING) : RAISED FACE FLANGED, TFE SEAT",,
165,7,0,39,353,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD",,
166,7,0,42,,"2"" - 24""","CLASS 300 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, STD WEIGHT BORE",,
167,7,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
168,7,0,43,,"2"" - 24""","STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : SEAMLESS, STD WEIGHT",,
169,7,0,43,,"26"" & LARGER","EFW STEEL, ASTM A672, GRADE C65, CLASS 22 : CALC WALL THICKNESS (.375"" WALL MINIMUM)",,
170,7,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
171,7,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY).",,
172,7,0,49,,"ALL","FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
173,7,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
174,7,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
175,7,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
176,8,0,1,103,"1/2"" -1-1/2""","CLASS 150 STEEL RF FLGD (400F MAX) : TFE SEAT, FLOATING BALL, WR OPR",,
177,8,0,1,103,"2"" - 4""","CLASS 150 STEEL RF FLGD (400F MAX) : TFE SEAT, FLOATING BALL, WR OPR",,
178,8,0,1,103,"6"" - 8""","CLASS 150 STEEL RF FLGD (400F MAX) : TFE SEAT, FLOATING BALL, GR OPR",,
179,8,0,1,218,"1/2"" - 1-1/2""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, WR OPR",,
180,8,0,1,218,"6"" ONLY","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, GR OPR",,
181,8,0,1,360,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (400F MAX) : TFE SEAT, SOCKETWELD, WR OPR",,
182,8,0,1,361,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (400F MAX) : TFE SEAT, SW/SCRD, WR OPR",,
183,8,0,4,402,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
184,8,0,4,403,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
185,8,0,4,39,"1/2""-1-1/2""","CLASS 150 STEEL : RAISED FACE FLGD. API 602",,
186,8,0,4,39,"2"" ONLY","CLASS 150 STEEL : RAISED FACE FLANGED",,
187,8,0,5,438,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
188,8,0,5,64,"2"" ONLY","CLASS 150 STEEL : RAISED FACE FLANGED",,
189,8,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
190,8,0,7,,"ALL","SEE CHART BC-9",,
191,8,0,10,77,"2"" & LARGER","CLASS 150 STEEL : SWING, RAISED FACE FLANGED",,
192,8,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
193,8,0,13,,"1/2"" - 3/4""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
194,8,0,13,,"1"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
195,8,0,13,,"2"" ONLY","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : XS",,
196,8,0,13,,"3"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : STD WEIGHT",,
197,8,0,16,,"1/2"" - 3/4""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
198,8,0,16,,"1"" - 1-1/2""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
199,8,0,16,,"2"" ONLY","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, XS BORE",,
200,8,0,16,,"3"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, STD WEIGHT BORE",,
201,8,0,16,,"2"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : REDUCING, SLIP-ON",,
202,8,0,16,,"1/2"" - 24""","CLASS 150 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
203,8,0,20,,"ALL","1/16 "" THICK COMPRESSED ASBESTOS DURABLA BLACK OR EQUAL (FOR LAR ONLY)",,
204,8,0,20,,"ALL","1/16"" THICK FLEXIBLE GRAPHITE SHEET WITH 316SS TANG METAL INSERT, UNION CARBIDE GHE OR EQUAL (FOR CP ONLY)",,
205,8,0,21,15,"1/2"" - 1-1/2""","CLASS 150 STEEL : RAISED FACE FLANGED API 602",,
206,8,0,21,25,"2"" & LARGER","CLASS 150 STEEL : RAISED FACE FLANGED API 600",,
207,8,0,21,116,"1/2"" - 1-1/2""","CLASS 300 STEEL : RAISED FACE FLANGED API 602",,
208,8,0,21,126,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED API 600",,
209,8,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
210,8,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
211,8,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
212,8,0,24,54,"2"" - 12""","CLASS 150 STEEL : RAISED FACE FLANGED",,
213,8,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
214,8,0,40,100,"2"" & LARGER","CLASS 150 STEEL : RAISED FACE FLANGED, TFE",,
215,8,0,40,224,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED, TFE SEAT",,
