id,valve_id,component_name,component_text,created_at,updated_at
47,4,TRIM,"DISC: BRONZE, SEAT: BRONZE",,
48,4,TYPE,GATE,,
49,5,BODY,CAST IRON; ASTM A126 CLASS B,,
50,5,BONNET,BOLTED CAP,,
51,5,DISC,SOLID CLOSER,,
52,5,ENDS,FLAT FACE FLANGED,,
53,5,OPERATOR,N/A,,
54,5,PACKING,N/A,,
55,5,PORT,N/A,,
56,5,RATING,ANSI CLASS 125,,
57,5,STANDARD,ANSI,,
58,5,STEM,N/A,,
59,5,TRIM,"DISC: BRONZE, SEAT: BRONZE",,
60,5,TYPE,CHECK VALVE (FM OR UL APPROVED) - SWING TYPE,,
61,6,BODY,CAST IRON; ASTM A126 CLASS B,,
62,6,BONNET,BOLTED CAP,,
63,6,DISC,SOLID CLOSER,,
64,6,ENDS,FLAT FACE FLANGED,,
65,6,OPERATOR,N/A,,
66,6,PACKING,N/A,,
67,6,PORT,N/A,,
68,6,RATING,ANSI CLASS 125,,
69,6,STANDARD,"MSS SP-71, ANSI B16.1",,
70,6,STEM,N/A,,
71,6,TRIM,"DISC: BRONZE, SEAT: BRONZE",,
72,6,TYPE,CHECK VALVE - SWING,,
73,7,BODY,CAST IRON; ASTM A126 CLASS B,,
74,7,BONNET,BOLTED CAP,,
75,7,DISC,SOLID CLOSER,,
76,7,ENDS,SCREWED,,
77,7,OPERATOR,N/A,,
78,7,PACKING,N/A,,
79,7,PORT,N/A,,
80,7,RATING,ANSI CLASS 125,,
81,7,STANDARD,MSS-SP-71,,
82,7,STEM,N/A,,
83,7,TRIM,"DISC: BRONZE, SEAT: BRONZE",,
84,7,TYPE,CHECK - SWING TYPE,,
85,8,BALL,SOLID PVC,,
86,8,BODY,SOLID PVC; ASTM D-2467,,
87,8,BONNET,"SCREWED, END ENTRY",,
88,8,ENDS,SOCKETWELD,,
89,8,OPERATOR,N/A,,
90,8,PACKING,"VITON ""O"" RING SEALS",,
91,8,PATTERN,REGULAR OR VENTURI,,
92,8,PORT,N/A,,
93,8,RATING,150 PSI @ 73F,,
94,8,STANDARD,---,,
95,8,TRIM,"BALL: SOLID PVC, SEAT: TFE",,
96,8,TYPE,CHECK VALVE - BALL (DOUBLE ENTRY),,
97,10,BODY,"CAST DUCTILE IRON, ASTM A395, RUBBER LINED",,
98,10,BONNET,N/A,,
99,10,DISC,SOLID,,
100,10,ENDS,RAISED FACE W/UNTHREADED LUGS,,
101,10,OPERATOR,"STD. LOCK HANDLE (2"" - 4""), ENCLOSED WORM GEAR (6"" & LARGER)",,
102,10,PACKING,"BUNA-N ""O"" RING",,
103,10,PORT,N/A,,
104,10,RATING,ANSI CLASS 125/150,,
105,10,STANDARD,"API 609, CATEGORY A",,
106,10,STEM,316 STAINLESS STEEL,,
107,10,TRIM,"DISC: ALUMINUM BRONZE, SEAT: BUNA-N",,
108,10,TYPE,BUTTERFLY,,
109,11,BODY,"CAST DUCTILE IRON, ASTM A395, RUBBER LINED",,
110,11,BONNET,N/A,,
111,11,DISC,SOLID,,
112,11,ENDS,RAISED FACE W/UNTHREADED LUGS,,
113,11,OPERATOR,"ENCLOSED WORM GEAR WITH FLAG INDICATOR, LOCKING DEVICE AND STEM EXTENSION",,
114,11,PACKING,"BUNA-N ""O"" RING",,
115,11,PORT,N/A,,
116,11,RATING,ANSI CLASS 125/150,,
117,11,STANDARD,"API 609, CATEGORY A",,
118,11,STEM,STAINLESS STEEL,,
119,11,TRIM,"DISC: ALUMINUM BRONZE, SEAT: EPDM OR BUNA-N",,
120,11,TYPE,BUTTERFLY,,
121,12,BODY,SOLID PVC; ASTM D-2467,,
122,12,BONNET,"SCREWED, END ENTRY",,
123,12,DISC,QUARTER-TURN BALL,,
124,12,ENDS,SOCKETWELD,,
125,12,OPERATOR,WRENCH,,
126,12,PACKING,VITON SEALS,,
127,12,PORT,N/A,,
128,12,RATING,150 PSI @ 73F,,
129,12,STANDARD,---,,
130,12,STEM,SOLID PVC,,
131,12,TRIM,"BALL: SOLID PVC, SEATS: TEFLON",,
132,12,TYPE,BALL (TRUE UNION),,
133,14,BODY,BRASS; ASTM B16 ALLOY 360,,
134,14,BONNET,N/A,,
135,14,DISC,PLUG TYPE,,
136,14,ENDS,SCREWED,,
137,14,OPERATOR,LEVER HANDLE,,
138,14,PACKING,N/A,,
139,14,PORT,N/A,,
140,14,RATING,75 PSIG,,
141,14,STANDARD,---,,
142,14,STEM,N/A,,
143,14,TRIM,"PLUG: BRONZE, SEAT: BRASS",,
144,14,TYPE,GAUGE COCK,,
145,15,BODY,FORGED CARBON STEEL; ASTM A105,,
146,15,BONNET,"BOLTED, OS&Y",,
147,15,DISC,SOLID,,
148,15,ENDS,RAISED FACE FLANGED,,
149,15,OPERATOR,HANDWHEEL,,
150,15,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
151,15,PORT,REDUCED,,
152,15,RATING,ASME CLASS 150,,
153,15,STANDARD,API 602,,
154,15,STEM,11-13% CR.,,
155,15,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
156,15,TYPE,GATE,,
157,16,BODY,"CAST ALLOY 20, ASTM A744 GR. CN7M",,
158,16,BONNET,"BOLTED, OS&Y, TONGUE & GROOVE",,
159,16,BONNET GASKET,PTFE/REINFORCED. UNREINFORCED PTFE IS UNACCEPTABLE.,,
160,16,DISC,SPLIT WEDGE OR DOUBLE DISC,,
161,16,ENDS,SOCKETWELD/SCREWED,,
162,16,OPERATOR,HANDWHEEL,,
163,16,PACKING,PTFE,,
164,16,PORT,FULL,,
165,16,RATING,ASME CLASS 150,,
166,16,STANDARD,ASME B16.34,,
167,16,STEM,ALLOY 20,,
168,16,TRIM,ALLOY 20,,
169,16,TYPE,GATE,,
170,17,BODY,"CAST ALLOY 20, ASTM A744 GR. CN7M",,
171,17,BONNET,"BOLTED, OS&Y",,
172,17,BONNET GASKET,PTFE/REINFORCED. UNREINFORCED PTFE IS UNACCEPTABLE.,,
173,17,DISC,SPLIT WEDGE OR DOUBLE DISC,,
174,17,ENDS,RAISED FACE FLANGED,,
175,17,OPERATOR,HANDWHEEL,,
176,17,PACKING,PTFE,,
177,17,PORT,FULL,,
178,17,RATING,ASME CLASS 150,,
179,17,STANDARD,ASME B16.34,,
180,17,STEM,ALLOY 20,,
181,17,TRIM,ALLOY 20,,
182,17,TYPE,GATE,,
183,18,BODY,FORGED CARBON STEEL; ASTM A105,,
184,18,BONNET,"BOLTED, OS&Y",,
185,18,DISC,SOLID,,
186,18,ENDS,RAISED FACE FLANGED,,
187,18,OPERATOR,HANDWHEEL,,
188,18,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
189,18,PORT,REDUCED,,
190,18,RATING,ASME CLASS 150,,
191,18,STANDARD,API 602,,
192,18,STEM,316 STAINLESS STEEL,,
193,18,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
194,18,TYPE,GATE,,
195,19,BODY,"CAST CARBON STEEL; A216, GR. WCB",,
196,19,BONNET,"BOLTED, OS&Y",,
197,19,DISC,SOLID OR FLEXIBLE,,
198,19,ENDS,RAISED FACE FLANGED,,
199,19,OPERATOR,"2""-12"" HANDWHEEL, 14""-20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS ENGINEERING STANDARD 309)",,
200,19,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
201,19,PORT,FULL,,
202,19,RATING,ASME CLASS 150,,
203,19,STANDARD,API 600,,
204,19,STEM,316 STAINLESS STEEL,,
205,19,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
206,19,TYPE,GATE,,
207,20,BODY,"CAST 316 STAINLESS STEEL; ASTM A351, GR. CF8M",,
208,20,BONNET,"BOLTED, OS&Y",,
209,20,DISC,"SOLID, FLEXIBLE, OR DOUBLE DISC",,
210,20,ENDS,RAISED FACE FLANGED,,
211,20,OPERATOR,HANDWHEEL,,
212,20,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
213,20,PORT,FULL,,
214,20,RATING,ASME CLASS 150,,
215,20,STANDARD,ASME B16.34,,
216,20,STEM,316 STAINLESS STEEL,,
217,20,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
218,20,TYPE,GATE,,
219,21,BODY,"CAST 316LSS; ASTM A351, GR. CF3M",,
220,21,BONNET,"BOLTED, OS&Y",,
221,21,DISC,SOLID OR DOUBLE DISC,,
222,21,ENDS,SOCKETWELD/SCREWED,,
223,21,OPERATOR,HANDWHEEL,,
224,21,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
225,21,PORT,REDUCED OR FULL,,
226,21,RATING,ASME CLASS 150,,
227,21,STANDARD,ASME B16.34,,
228,21,STEM,316 STAINLESS STEEL,,
229,21,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
230,21,TYPE,GATE,,
231,23,BELLOWS,"INCONEL 625 BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION",,
232,23,BODY,FORGED CARBON STEEL; ASTM A105,,
233,23,BONNET,"WELDED, OS&Y",,
234,23,DISC,SOLID,,
235,23,ENDS,RAISED FACE FLANGED (125 - 250 AARH FACING),,
236,23,OPERATOR,HANDWHEEL,,
237,23,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
238,23,PORT,REDUCED,,
239,23,RATING,ASME CLASS 150,,
240,23,STANDARD,API 602,,
241,23,STEM,11 - 13% CR.,,
242,23,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
243,23,TYPE,"GATE, BELLOWS-SEAL",,
244,24,BODY,"CAST CARBON STEEL; A216, GR. WCB",,
245,24,BONNET,"BOLTED, OS&Y",,
246,24,DISC,SOLID OR FLEXIBLE,,
247,24,ENDS,"RAISED FACE FLANGED, 125-250 AARH FACING",,
248,24,OPERATOR,"2""-12"" HANDWHEEL, 14""-20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS CO. ENGINEERING STANDARD 309)",,
249,24,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
250,24,PORT,FULL,,
251,24,RATING,ASME CLASS 150,,
252,24,STANDARD,API 600,,
253,24,STEM,11-13% CR.,,
254,24,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
255,24,TYPE,GATE,,
256,25,BODY,"CAST CARBON STEEL; A216, GR. WCB",,
257,25,BONNET,"BOLTED, OS&Y",,
258,25,DISC,SOLID OR FLEXIBLE,,
259,25,ENDS,RAISED FACE FLANGED,,
260,25,OPERATOR,"2""-12"" HANDWHEEL, 14""-20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS CO. ENGINEERING STANDARD 309)",,
261,25,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
262,25,PORT,FULL,,
263,25,RATING,ASME CLASS 150,,
264,25,STANDARD,API 600,,
265,25,STEM,11-13% CR.,,
266,25,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
267,25,TYPE,GATE,,
268,26,BODY,FORGED CARBON STEEL; ASTM A105,,
269,26,BONNET,"BOLTED, OS&Y",,
270,26,DISC,SOLID,,
271,26,ENDS,RAISED FACE FLANGED (125-250 AARH FACING),,
272,26,OPERATOR,HANDWHEEL,,
273,26,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
274,26,PORT,REDUCED,,
275,26,RATING,ASME CLASS 150,,
276,26,STANDARD,API 602,,
277,26,STEM,11 - 13% CR.,,
278,26,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
279,26,TYPE,GATE,,
280,27,BODY,FORGED CARBON STEEL; ASTM A105,,
281,27,BONNET,"BOLTED, OS&Y",,
282,27,DISC,SOLID,,
283,27,ENDS,RAISED FACE FLANGED,,
284,27,OPERATOR,HANDWHEEL,,
285,27,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
286,27,PORT,REDUCED,,
287,27,RATING,ASME CLASS 150,,
288,27,STANDARD,API 602,,
289,27,STEM,316 STAINLESS STEEL,,
290,27,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
291,27,TYPE,GATE,,
292,28,BODY,"CAST CARBON STEEL; ASTM A216, GR WCB",,
293,28,BONNET,"BOLTED, OS&Y",,
294,28,DISC,SOLID OR FLEXIBLE,,
295,28,ENDS,RAISED FACE FLANGED,,
296,28,OPERATOR,"2"" - 12"" HANDWHEEL, 14"" - 20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS CO. ENGINEERING STANDARD 309)",,
297,28,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
298,28,PORT,FULL,,
299,28,RATING,ASME CLASS 150,,
300,28,STANDARD,API 600,,
301,28,STEM,316 STAINLESS STEEL,,
302,28,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
303,28,TYPE,GATE,,
304,29,BODY,"CAST CARBON STEEL; A216, GR. WCB",,
305,29,BONNET,"BOLTED, OS&Y",,
306,29,DISC,SOLID OR FLEXIBLE,,
307,29,ENDS,"BUTT WELDING, STD. WT. BORE",,
308,29,OPERATOR,"2""-12"" HANDWHEEL, 14""-20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS CO. ENGINEERING STANDARD 309)",,
309,29,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
310,29,PORT,FULL,,
311,29,RATING,ASME CLASS 150,,
312,29,STANDARD,API 600,,
313,29,STEM,11-13% CR.,,
314,29,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
315,29,TYPE,GATE,,
316,30,BODY,"CAST 316LSS; ASTM A351, GR. CF3M",,
317,30,BONNET,"BOLTED, OS&Y",,
318,30,DISC,SOLID OR DOUBLE DISC,,
319,30,ENDS,SOCKETWELD,,
320,30,OPERATOR,HANDWHEEL,,
321,30,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
322,30,PORT,REDUCED OR FULL,,
323,30,RATING,ASME CLASS 150,,
324,30,STANDARD,ASME B16.34,,
325,30,STEM,316 STAINLESS STEEL,,
326,30,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
327,30,TYPE,GATE,,
328,31,BODY,"CAST 316 STAINLESS STEEL; ASTM A351, GR. CF8M",,
329,31,BONNET,"BOLTED, OS&Y",,
330,31,DISC,SOLID OR DOUBLE DISC,,
331,31,ENDS,RAISED FACE FLANGED,,
332,31,OPERATOR,HANDWHEEL,,
333,31,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
334,31,PORT,FULL,,
335,31,RATING,ASME CLASS 150,,
336,31,STANDARD,ASME B16.34,,
337,31,STEM,316 STAINLESS STEEL,,
338,31,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL, CO CR-A HARDFACED",,
339,31,TYPE,GATE,,
340,32,BODY,FORGED 5 CR - 1/2 MO; ASTM A182 GR. F5,,
341,32,BONNET,"BOLTED, OS&Y",,
342,32,DISC,SOLID,,
343,32,ENDS,RAISED FACE FLANGED,,
344,32,OPERATOR,HANDWHEEL,,
345,32,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
346,32,PORT,REDUCED,,
347,32,RATING,ASME CLASS 150,,
348,32,STANDARD,API 602,,
349,32,STEM,11-13% CR.,,
350,32,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
351,32,TYPE,GATE,,
352,33,BODY,FORGED 9 CR - 1 MO; ASTM A182 GR. F9,,
353,33,BONNET,"BOLTED, OS&Y",,
354,33,DISC,SOLID,,
355,33,ENDS,RAISED FACE FLANGED (125-250 AARH FACING),,
356,33,OPERATOR,HANDWHEEL,,
357,33,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
358,33,PORT,REDUCED,,
359,33,RATING,ASME CLASS 150,,
360,33,STANDARD,API 602,,
361,33,STEM,11-13% CR.,,
362,33,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
363,33,TYPE,GATE,,
364,34,BELLOWS,"INCONEL 625 BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.",,
365,34,BODY,FORGED 5 CR - 1/2 MO; ASTM A182 GR. F5,,
366,34,BONNET,"WELDED, OS&Y",,
367,34,DISC,SOLID,,
368,34,ENDS,RAISED FACE FLANGED,,
369,34,OPERATOR,HANDWHEEL,,
370,34,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
371,34,PORT,REDUCED,,
372,34,RATING,ASME CLASS 150,,
373,34,STANDARD,API 602,,
374,34,STEM,11 - 13% CR.,,
375,34,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
376,34,TYPE,"GATE, BELLOWS-SEAL",,
377,35,BODY,CAST 5 CR - 1/2 MO; ASTM A217 GR. C5,,
378,35,BONNET,"BOLTED, OS&Y",,
379,35,DISC,FLEXIBLE,,
380,35,ENDS,RAISED FACE FLANGED,,
381,35,OPERATOR,"2""-12"" HANDWHEEL, 14""-20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS CO. ENGINEERING STANDARD 309)",,
382,35,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
383,35,PORT,FULL .,,
384,35,RATING,ASME CLASS 150,,
385,35,STANDARD,API 600,,
386,35,STEM,11-13% CR.,,
387,35,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED, WELDED-IN SEAT RING",,
388,35,TYPE,GATE,,
389,36,BODY,"CAST 9 CR - 1 MO; ASTM A217, GR. C12",,
390,36,BONNET,"BOLTED, OS&Y",,
391,36,DISC,FLEXIBLE,,
392,36,ENDS,RAISED FACE FLANGED,,
393,36,OPERATOR,"2""-12"" HANDWHEEL, 14""-20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS CO. ENGINEERING STANDARD 309)",,
394,36,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
395,36,PORT,FULL,,
396,36,RATING,ASME CLASS 150,,
397,36,STANDARD,API 600,,
398,36,STEM,11-13% CR.,,
399,36,TRIM,"DISC: 11-13% CR., SEAT: 11 - 13% CR., CO-CR-A HARDFACED, WELDED-IN SEAT RING",,
400,36,TYPE,GATE,,
401,37,BODY,"CAST CARBON STEEL; A216, GR. WCB",,
402,37,BONNET,"BOLTED, OS&Y",,
403,37,DISC,SOLID OR FLEXIBLE,,
404,37,ENDS,"BUTT WELDING, XS BORE",,
405,37,OPERATOR,"2""-8"" HANDWHEEL, 10""-20"" GEAR, 24"" & LARGER MOTOR (REFERENCE ARCO PRODUCTS CO. ENGINEERING STANDARD 309)",,
406,37,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
407,37,PORT,FULL,,
408,37,RATING,ASME CLASS 150,,
409,37,STANDARD,API 600,,
410,37,STEM,11-13% CR.,,
411,37,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
412,37,TYPE,GATE,,
413,38,BODY,"CAST NICKEL COPPER (MONEL), ASTM A744 GRADE M-35-1",,
414,38,BONNET,"BOLTED, OS&Y",,
415,38,DISC,"SPLIT WEDGE, NICKEL COPPER (MONEL)",,
416,38,ENDS,RAISED FACE FLANGED,,
417,38,OPERATOR,HANDWHEEL,,
418,38,PACKING,TEFLON,,
419,38,PORT,FULL,,
420,38,RATING,ASME CLASS 150,,
421,38,STANDARD,ASME B16.34,,
422,38,STEM,NICKEL COPPER (MONEL),,
423,38,TRIM,"DISC: NICKEL COPPER (MONEL), SEAT: NICKEL COPPER (MONEL)",,
424,38,TYPE,GATE,,
425,39,BELLOWS,"INCONEL 625 BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.",,
426,39,BODY,FORGED CARBON STEEL; ASTM A105,,
427,39,BONNET,"WELDED, OS&Y",,
428,39,DISC,SOLID,,
429,39,ENDS,RAISED FACE FLANGED,,
430,39,OPERATOR,HANDWHEEL,,
431,39,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
432,39,PORT,REDUCED,,
433,39,RATING,ASME CLASS 150,,
434,39,STANDARD,API 602,,
435,39,STEM,11-13% CR.,,
436,39,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
437,39,TYPE,"GATE, BELLOWS SEAL",,
438,40,BELLOWS,"INCONEL 625 BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.",,
439,40,BODY,FORGED CARBON STEEL; ASTM A105,,
440,40,BONNET,"BOLTED, OS&Y",,
441,40,DISC,SOLID,,
442,40,ENDS,RAISED FACE FLANGED,,
443,40,OPERATOR,HANDWHEEL,,
444,40,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
445,40,PORT,REDUCED,,
446,40,RATING,ASME CLASS 150,,
447,40,STANDARD,API 602,,
448,40,STEM,11-13% CR.,,
449,40,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
450,40,TYPE,"GATE, BELLOWS SEAL",,
451,41,BELLOWS,"INCONEL 625 BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.",,
452,41,BODY,FORGED CARBON STEEL; ASTM A105,,
453,41,BONNET,"WELDED, OS&Y",,
454,41,DISC,SOLID,,
455,41,ENDS,RAISED FACE FLANGED,,
456,41,OPERATOR,HANDWHEEL,,
457,41,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
458,41,PORT,REDUCED,,
459,41,RATING,ASME CLASS 150,,
460,41,STANDARD,API 602,,
461,41,STEM,316 STAINLESS STEEL.,,
462,41,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: 316 STAINLESS STEEL., CO CR-A HARDFACED",,
463,41,TYPE,"GATE, BELLOWS SEAL",,
464,42,BELLOWS,"INCONEL 625 BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.",,
465,42,BODY,FORGED 9 CR - 1 MO; ASTM A182 GR. F9,,
466,42,BONNET,"WELDED, OS&Y",,
467,42,DISC,SOLID,,
468,42,ENDS,RAISED FACE FLANGED,,
469,42,OPERATOR,HANDWHEEL,,
470,42,PACKING,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
471,42,PORT,REDUCED,,
472,42,RATING,ASME CLASS 150,,
473,42,STANDARD,API 602,,
474,42,STEM,11 - 13% CR.,,
475,42,TRIM,"DISC: 11-13% CR., SEAT: 11-13% CR., CO CR-A HARDFACED",,
476,42,TYPE,"GATE, BELLOWS-SEAL",,
477,43,BELLOWS,"INCONEL 625 BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.",,
478,43,BODY,FORGED CARBON STEEL; ASTM A105,,
479,43,BONNET,"WELDED, OS&Y",,
480,43,DISC,SOLID,,
481,43,ENDS,RAISED FACE FLANGED,,
