id,class_code,archived,service,flange_rating,max_pressure,max_temp,corrosion_allow,piping_material,small_fitting,valve_body_material,valve_trim,gasket_material,gasket_bolting,instr_spec,comments,special_note,maintenance_note,created_at,updated_at
43,DAD ,0,HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/  STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,,,,
44,DAE ,0,SULFURIC ACID (90%-98%),CL 300 RF,ASME B16.5,110F,"0.125""",CARBON STEEL,BW,ALLOY 20,ALLOY 20,GYLON,B7 STUD,S-3,,"A.	USE GTAW PROCESS FOR WELDING ROOT PASS ON ALL BUTTWELDS.  B.	LIMIT LINE VELOCITY TO 3.0 FPS, USE LINE CLASS  DX FOR VELOCITIES OVER 3.0 FPS  AND UP TO 10.0 FPS. ",,,
45,DAH ,0," 140#  STEAM & CONDENSATE (CP ONLY), 150# SUPERHEATED STEAM, CONDENSATE, BFW, BLOWDOWN (LAR ONLY)",CL 300 RF,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,,,,
46,DAI ,0,OXYGEN,CL 300 RF,600 PSIG,500F,"0.0625""",CARBON STEEL/ MONEL,CL 3000 SW,MONEL,MONEL,GYLON,B7 STUD,S-1,,"A.	ALL VALVES SHALL BE CHEMICALLY CLEANED AND PACKAGED FOR OXYGEN SERVICE.  VALVE PACKING SHALL BE TEFLON.  B.	FLUID VELOCITY SHALL BE LIMITED TO 200 FEET PER SECOND.  HIGHER VELOCITIES REQUIRE MONEL PIPING.  C.	THE INSTALLED PIPING SYSTEM SHALL BE MECHANICALLY AND CHEMICALLY CLEANED TO REMOVE CONTAMINANTS SUCH AS OIL, GREASE, LUBRICANTS, PAINTS, ETC., AND PARTICULATES SUCH AS WELD SLAG AND METAL CHIPS FROM MACHINING AND CUTTING OPERATIONS.  D.	FILTERS MADE OF MONEL SHALL BE INSTALLED UPSTREAM OF PRESSURE REDUCING REGULATORS AND CONTROL VALVES TO CATCH PARTICULATES.  E.	USE TEFLON TAPE FOR THREADED JOINTS.  DO NOT USE THREAD COMPOUND.  F.	FOR TEMPERATURES BELOW -20OF, USE MONEL PIPING. BOLTING SHALL BE 304SS STUD BOLTS, ASTM A320 GRADE 8 WITH ASTM A194 GRADE 8 NUTS. ",,,
47,DAJ ,0,"FIRE SUPPRESSION: HALON, LOW PRESSURE CO2",CL 300 RF,ASME B16.5,150F,"0.0625""",CARBON STEEL,CL 2000 SCREWED,CARBON STEEL,12 CR/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-1,,,,,
48,DAP ,0,"BOILER EXTERNAL  PIPING (ASME B31.1): STEAM, CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-1,,,,,
49,DAW3,0,LEAN  &  SEMI-LEAN CATACARB,CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STEL,COMP. ASB./ GRAPH.,B7 STUD,S-1,PWHT FOR SERVICE,A.	ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED.  B.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE. ,"A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03706.",,
50,DAX ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,"EXISTING PLUG VALVES MAY BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03711.",,,
51,DC  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,850F,"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4 CR - 1/2 MO,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
52,DCB ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50  PSIA OR GREATER),CL 300 RJ,ASME B16.5,1025F,"0.0625""",1-1/4CR - 1/2 MO,BW,1-1/4 CR - 1/2 MO,12 CR/ STELL.,5 CR - 1/2 MO OVAL RING,B16 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
53,DCD ,0,HYDROCARBONS: CYCLIC PORTION OF COKE DRUM PIPING,CL 300 RJ,ASME B16.5,850F,"0.125""",1-1/4 CR - 1/2 MO,BW,1-1/4 CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
54,DCX ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,850F,"0.125""",1-1/4CR - 1/2 MO,CL 3000/ 6000 SW,1-1/4 CR - 1/2 MO,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED  JOINTS ARE EXCLUDED.,,,
55,DE  ,0,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,850F,"0.125""",5CR - 1/2 MO,CL 3000/ 6000,5 CR - 1/2 MO,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS 	RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS 	ARE EXCLUDED.,,,
56,DEA ,0,HC VAPORS: CYCLIC PORTION OF COKE  DRUM OVERHEAD LINE,CL 300 RJ,ASME B16.5,850F,"0.125""",5CR - 1/2 MO,CL 3000/ 6000,5 CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS 	RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS 	ARE EXCLUDED.,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V03811 FROM ENGINEERING STANDARD 205V.",,
57,DFV ,0,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,850F,"0.125""",9CR - 1 MO,CL 3000/ 6000,9 CR - 1 MO,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS ( SOCKETWELD OR BUTTWELD) SHALL BE STRESS 	RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS 	ARE EXCLUDED.,,,
58,DH  ,0,"LUBE OIL,       SEAL OIL",CL 300 RF,ASME B16.5,500F,NONE,304SS,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,FLEX HOSE,"WELDED JOINTS DOWNSTREAM OF OIL FILTERS SHALL BE BUTTWELD RATHER THAN SOCKETWELD, EXCEPT VALVES. THE ROOT PASS SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.",,,
59,DJ  ,0,"WET C02, RICH C02 CONDENSATE, RICH CATACARB SOLUTION",CL 300 RF,ASME B16.5,500F,"0.0625""",304LSS,CL 3000 SW,316SS,316SS/ STEL,COMP. ASB./ GRAPH.,B7 STUD,S-4,,,,,
60,DJB ,0,H2 OR H2HC MIXTURES WITH WET CO2(H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,750F,"0.0625""",304LSS,CL 3000 SW,316SS,316SS/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-4,,,,,
61,DX  ,0,SULFURIC ACID LESS THAN 90% CONCENTRATION,CL 300 RF,ASME B16.5,300F,"0.050""",ALLOY 20,CL 3000 SW,ALLOY 20,ALLOY 20,GYLON,B7 STUD,S-3,,THE ROOT PASS FOR BUTTWELDS SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.,,,
62,FA  ,0,HYDROCARBON LIQUID & VAPOR,CL 600 RF,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,,"EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06710.",,
63,FAB ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50  PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL  WND. GRAPHITE,B7 STUD,S-1,,,"EXISTING PLUG VALVES MAY BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06711.",,
64,FAC ,0,H2  OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,750F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,"EXISTING PLUG VALVES MAY BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06711.",,,
65,FAC2,0,"RICH AMINE (MEA, DEA, MDEA)",CL 600 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,316SS/ STEL,SPIRAL WND. GRAP,B7 STUD,S-1,NACE REQUIRED. PWHT FOR SERVICE.,"A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B.	VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 	GRADE 2H NUTS.  C.	ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED, EXCEPT SOCKETWELDS IN 	AMINE LINES OPERATING AT 120OF OR LESS, REGARDLESS OF STEAM-OUT CONDITIONS. 	CAUSTIC IS DEFINED AS 5 WT% OR GREATER. ",,,
66,FACN,0,"WET SOUR GAS, SOUR H2O,  ACID GAS",CL 600 RF,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,316SS/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,NACE REQUIRED,A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B.	VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 	GRADE 2H NUTS. ,,,
67,FAD ,0,HYDROCARBON LIQUID & VAPOR,CL 600 RF,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,,"EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06710.",,
68,FAD3,0,"LEAN AMINES (DEA, MEA, MDEA), CAUSTIC (FRESH & SOUR)",CL 600 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,"A.	ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED, SOCKETWELDS IN CAUSTIC AND AMINE SERVICE WITH OPERATING  TEMPERATURES OF 120oF OR LESS, REGARDLESS OF STEAM-OUT CONDITIONS, DO NOT REQUIRE STRESS RELIEVING.  CAUSTIC IS DEFINED AS 5 WT % OR GREATER.  B.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN AMINE SERVICE. ",,,
69,FAH ,0,"600# STEAM & CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 600 RF,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,"FOR REPLACEMENT OF EXISTING VALVES WITH RTJ FLANGES, USE THE FOLLOWING V-NUMBERS FROM ENGINEERING STANDARD 205V: 		 		GATE VALVES       -   V06004 		GLOBE VALVES    -   V06404 		CHECK VALVES   -   V06526 ",,,
70,FAJ ,0,"600# STEAM & CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 600 RTJ,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-1,FOR LAR ONLY,,,,
71,FAP ,0,"BOILER EXTERNAL PIPING (ASME B31.1): STEAM, CONDENSATE, BFW, BLOWDOWN",CL 600 RF,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,A.	ALL CARBON STEEL PIPE WELDING IN BOILER CIRCULATING SYSTEMS THAT SEE CAUSTIC SOLUTION GREATER THAN 5 WT % SHALL BE STRESS RELIEVED.,"A.	FOR REPLACEMENT OF EXISTING VALVES WITH RTJ FLANGES, USE THE FOLLOWING  V-NUMBERS FROM ENGINEERING STANDARD 205V: 			GATE VALVES -    V06004 			GLOBE VALVES - V06404 			CHECK VALVES - V06526 ",,
72,FAT ,0,"BOILER EXTERNAL PIPING (ASME B31.1): STEAM, CONDENSATE, BFW, BLOWDOWN",CL 600 RTJ,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-1,FOR LAR ONLY,ALL CARBON STEEL PIPE WELDING IN BOILER CIRCULATING SYSTEMS THAT SEE CAUSTIC SOLUTION GREATER THAN 5 WT % SHALL BE STRESS RELIEVED.,,,
73,FC  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,850F,"0.125""",1-1/4CR - 1/2MO,CL 6000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
74,FCA ,0,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 600 RJ,ASME B16.5,1000F,"0.125""",1-1/4CR - 1/2 MO,CL 6000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V06816 FROM 	ENGINEERING STANDARD 205V.",,
75,FCB ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RJ,ASME B16.5,1025F,"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO  OVAL RING,B16 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD  OR BUTTWELD)  SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
76,FCD ,0,BOILER EXTERNAL PIPING (ASME B31.1): SUPERHEATED STEAM,CL 600 RJ,ASME B16.5,1050F,"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-1,PWHT FOR SERVICE,,,,
77,FD  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA  OR GREATER) (H2 HEATER PROCESS PREHEAT OUTLET PIPING),CL 600 RJ,ASME B16.5,1100F,"0.0625""",2-1/4CR - 1 MO,CL 3000 SW,316SS,316SS/ STEL,316SS  OVAL RING,B16 STUD,S-4,PWHT FOR  SERVICE,A.	304SS AND 316SS FLANGE CONNECTIONS ARE USED TO MEET PRESSURE/TEMPERATURE REQUIREMENTS OF SERVICE.  B.	ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE  STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED. ,,,
78,FE  ,0,CORROSIVE HYDROCARBONS LIQUID & VAPOR,CL 600 RJ,ASME B16.5,1000F,"0.125""",5CR - 1/2 MO,CL 6000 SW,5CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V06815 FROM 	ENGINEERING STANDARD 205V.",,
79,FFB ,0,CORROSIVE HYDROCARBONS LIQUID & VAPOR,CL 600 RJ,ASME B16.5,950F,"0.125""",9CR - 1 MO,CL 6000 SW,9 CR - 1 MO,12 CR/ STEL,12 CR OVAL RING,B16 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.	,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V06810 FROM 	ENGINEERING STANDARD 205V.",,
80,FFV ,0,CORROSIVE HYDROCARBONS LIQUID & VAPOR,CL 600 RF,ASME B16.5,850F,"0.125""",9 CR - 1 MO,CL 6000 SW,9 CR - 1 MO,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,"A.	ORIGINAL PIPE CLASS SPECIFIED 5 CR   1/2 MO VALVES AND ALLOWED 1/2"" AND 3/4"" PROCESS PIPING (C.P. ONLY). 	 B.	ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED. ",,,
81,FFX ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,850F,"0.125""",9 CR - 1 MO,CL 6000 SW,9 CR - 1 MO,12 CR/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
82,FJL ,0,BFW CHEMICALS,CL 600 RF,ASME B16.5,200F,NONE,304LSS,CL 3000 SW,316SS,316SS/ STEL,SPIRAL WND. GRAPHITE,B7 STUD,S-4,,,,,
