id,vendor_no,name,email,account_no,address,city,state,zip,country,telephone,fax,contact_name,contact_telephone,notes,lock_version,updated_at
25,0080289690-011904,MOUNTAIN WATER ICE COMPANY,,,1701 CENTRAL AVENUE,CARSON,CA,90746,USA,310-638-0321,310-638-2316,Steve Fisher,,,0,
26,0080289697-000092,"ADVANCED SEALING & SUPPLY, CO.",,,13452 ALONDRA BLVD.,CERRITOS,CA,90703,USA,562-802-7782,562-802-7742,JEFF CLOUSE,562-802-7782,,0,
27,0080289731-003059,DEMARIA ELECTRIC MOTOR SERVICE,,,311 WEST `D` STREET,WILMINGTON,CA,90744,USA,310-549-4980,,DANNY DEMARIA,,,0,
29,0080289875-005139,INDUSTRIAL ELECTRIC MACHINERY,,,21818 S. WILMINGTON  SUITE 409,CARSON,CA,90810,USA,310-549-5673,310-549-2309,BUTCH BUSTAMANTE,,,0,
30,0080289882-007592,"REMCO EQUIPMENT & SUPPLY,INC.",,,19800 NORMANDIE AVE.,TORRANCE,CA,90502,USA,310-523-4339,,KENT DALTON,,,0,
31,0080289898-003021,"DENSITY, LEVEL, PROCESSING (DLP)",,,32295-8 MISSION TRAIL # 384,LAKE ELSINORE,CA,92530,USA,951-678-8726,951-639-0986,MIKE SANFORD,951-235-9194,,0,
32,0080290089-004565,GRAINGER,,,724 COWLES ST.,LONG BEACH,CA,90806,USA,562-495-8495,,SHELLY,,,0,
34,0080290304-006800,NORBOURN COMPANY,,,2877 BOWLING GREEN DR.,WALNUT CREEK,CA,94598,USA,925-947-5716,,TERRY THOMAS,,,0,
35,0080290316-042902,EMERSON PROCESS MANAGEMENT,,,8200 MARKET BOULEVARD,CHANHASSEN,MN,55317,USA,800-999-9307,952-906-8813,DUYEN M. PHAM,,,0,
36,0080290378-007642,AUTOMATION SERVICE,,,2360 CHAFFEE DR.,ST LOUIS,MO,63146,USA,800-325-4808,,BILL URSERY,,,0,
37,0080290394-020503,O'BRIEN CORP. C/O BLAIR MARTIN CO.,,,1500 E. BURNETT STREET,SIGNAL HILL,CA,90755,USA,562-424-8108,562-424-5189,PAUL VOLF,,,0,
38,0080290755-EDI,MCJUNKIN,,,2064 E. UNIVERSITY DRIVE,RANCHO DOMINGUEZ,CA,90220,USA,310-900-2923,,Nick Leute,,,0,
39,0080290804-004444,GLORIA RINALDO ENTERPRISES,,,247 MONROE AVE.,POMONA,CA,91767,USA,909-397-8950,,GLORIA RINALDO  OWNER,,,0,
40,0080290954-004072,MARK'S LOCK & SAFE,,,1428 WEST 259TH. STREET,HARBOR CITY,CA,90710,USA,310-530-7342,310-530-9041,,,,0,
41,0080291108-091304,"WELDING SERVICES, INC.",,,2225 Skyland Court,Norcross,GA,30071,USA,678-728-9100,770-209-0646,JAMMY TURNER,,,0,
42,0080291133-081602,TYCO VALVE & CONTROLS LP,,,1010 NORTH EDWARD COURT,ANAHEIM,CA,92806,USA,714-575-5767,714-575-9206,TOM MENDENHALL,,,0,
43,0080291248-060804,ALABAMA SPECIALTY PRODUCTS,,,152 METAL SAMPLES ROAD,MUNFORD,AL,35246,USA,281-471-2777,281-471-3405,RON WEISHAAR,,,0,
44,0080291267-00121802,"KENMAR INSTRUMENTATION SVC, INC.",,,5098 FOOTHILLS BOULEVARD #3,ROSEVILLE,CA,95747,USA,916-773-8314,,,,,0,
45,0080291379-003900,FISHER CONTROLS C/O CALTROL INC.,,,2011 E. FINANCIAL WAY,GLENDORA,CA,91740,USA,626-852-3560,626-963-9629,JOHN LOPEZ / RICK BRYANT,,,0,
46,0080291380-003033,DELTA CONTROLS,,,585 FORTSON                   ,SHREVEPORT                    ,LA,71107,USA,318-424-8471 ,318-425-2421,STEVE CROOM,,,0,
47,0080291405-009983,JOHN ZINK COMPANY,,,11920 E Apache,Tulsa,OK,74121,USA,918-234-1825,918-234-1932,,,,0,
48,0080291423-001684,"CALLIDUS TECHNOLOGIES, INC.",,,7130 SOUTH LEWIS SUITE 635,TULSA,OK,74136,USA,918-496-7599,918-523-2392,PAT SHEPHERD,,,0,
49,0080291454-005012,HUDSON PRODUCTS CORP,,,1307 SOLDIERS FIELD DR,SUGAR LAND,TX,77479-4072,USA,800-634-9160,281-275-8388,MARK AKERS,,,0,
50,0080291466-000410,PRIME EQUIPMENT CO.,,,2900 E. SPRING ST,LONG BEACH,CA,90806,USA,562-424-9606,,,,,0,
51,0080291516-005002,"HOWE-BAKER ENGINEERS, INC.",,,3102 E. FIFTH ST.,TYLER,TX,75701,USA,903-595-7736,903-595-7900,SUE MATHIS,,,0,
52,0080291553-011102,DRESSER FLOW CONTROL/MASONEILAN,,,2950 BIRCH STREET,BREA,CA,92821,USA,714-572-1528,714-572-1463,JESSE HAINES, 714-743-0891,,0,
53,0080291585-002945,"DAN-LOC BOLT & GASKET, INC.",,,15821 S. BROADWAY,GARDENA,CA,90248,USA,310-538-2822,310-538-9877,MIKE ,,,0,
54,0080291612-000035,"ACS INDUSTRIES, LP.",,,14211 INDUSTRY ROAD,HOUSTON,TX,77053,USA,713-434-0934,,TERRY THOMAS,,,0,
55,0080291800-004634,"GERHARDT'S, INC.",,,12828 WEST I-20 EAST,ODESSA,TX,79765,USA,805-676-1258,805-676-1261,,,,0,
56,0080292042-003845,FARWEST CORROSION CONTROL,,,1480 W. ARTESIA BLVD.,GARDENA,CA,90248-3215,USA,310-532-9524,310-532-3934,,,,0,
57,0080349699,VALIN CORPORATION,,,209 N. FAIR OAK AVE.,SUNNYVALE,CA,94086,USA,800 774-5630,800-774-5576,PAT RUSSETTE / MASON LEWIS,,,0,
58,0080292329-008825,"SENIOR FLEXONICS, INC.",,,2400 LONGHORN INDUSTRIAL DR.,NEW BRAUNFELS,TX,78130,USA,800-847-5746,805-998-9543,BOB TOWN,805-988-9353,,0,
59,0080292452-005138,"INDUSTRIAL CERAMICS, INC.",,,8651 BUFFALO AVE.,NIAGARA FALLS,NY,14304,USA,905-878-2848,,JOHN EVERINGHAM,,,0,
60,0080292500-020502,"FLOW SOLUTIONS, INC.",,,1725 RUTAN DRIVE,LIVERMORE,CA,94550,USA,559-651-8211,559-651-8216,ANGELA RICHISON,,,0,
61,0080292700-051004,"BAYSIDE ENGINEERING GROUP, INC.",,,6982 Hannegan Road,Lynden,WA,98264,USA,360-354-7980,,Ernie McQuarry,,,0,
62,0080292779-072804,"ADVANCED PROCESS SERVICES, LLC",,,2746 S VAIL AVE,COMMERCE,CA,90040,USA,323-278-6539,323-278-6536,TOM BURDI,,,0,
63,0080292869-009248,UNITED RENTALS,,,P.O.BOX 16399,IRVINE,CA,92623,USA,562-663-1500,,,,,0,
64,0080292963-006953,PACIFIC COAST BOLT CORP.,,,12748 E. FLORENCE AVENUE,SANTA FE SPRINGS,CA,90670-4540,USA,562-944-9549,562-944-9360,GINA ROMO,,,0,
65,0080292964-008392,"SUPERIOR PRODUCTS, INC.",,,20550 MADISON ST.,TORRANCE,CA,90503,USA,310-371-0012,310-371-0934,JOHN PROSSER,,,0,
66,0080293260-005823,LOS ANGELES CHEMICAL CO.,,,4545 ARDINE ST.,SOUTH GATE,CA,90280,USA,323-562-9500,,,,,0,
67,0080293296-007580,R.A. REED ELECTRIC COMPANY,,,5503 S. BOYLE AVE.,LOS ANGELES,CA,90058,USA,323-587-2284,,,,,0,
68,0080293310-021804,THE VANODE COMPANY,,,236 N. Sunset Ave,City of Industry,CA,91744-3523,USA,626-961-0387,626-968-2273,BOB SPICER,,,0,
70,0080293353-008767,TELL STEEL INC,,,2345 W. 17TH ST.,LONG BEACH,CA,90813,USA,562-435-4826,562-437-6894,BELINDA,,,0,
71,0080293365-006120,"METAL SUPPLY, INC.",,,11810 CENTER STREET,SOUTH GATE,CA,90280,USA,800-400-6382,562-634-5189,BILL GLASS,,,0,
72,0080293371-003307,"DUHIG AND CO., INC.",,,5071 TELEGRAPH RD.,LOS ANGELES,CA,90022,USA,323-263-7161,323-263-3891,,,,0,
73,0080293375-007560,REDMAN EQUIPMENT & MFG,,,19800 NORMANDIE AVE.,TORRANCE,CA,90502,USA,310-329-1134,310-324-5656,JERRY REDMAN,,,0,
74,0080293406-006960,PACIFIC MECHANICAL SUPPLY,,,13705 MILROY PLACE,SANTA FE SPRINGS,CA,90670,USA,562-921-0575,562-921-9489,TYLER VICTOR / MARK ,,,0,
75,0080293426-007315,PRODUCTION STEEL COMPANY,,,17913 S. MAIN ST.,GARDENA,CA,90248,USA,310-324-4921,310-329-4180,JON LIU,,,0,
76,0080293458-007025,PARKER SUPPLY CO.,,,4635 SHEILA STREET,LOS ANGELES,CA,90040-1190,USA,323-268-3581,323-268-6095,STEVE SCHMIDT ,,,0,
77,0080294541-092602,RPA PROCESS TECHNOLOGIES,,,9151 SHAVER ROAD,PORTAGE,MI,49024,USA,800-525-2414,629-323-2403,DAMIEN MACCORD,269-324-7628,,0,
78,0080294552-005810,LONG BEACH VALVE & FITTING CO.,,,3940 GILMAN ST.,LONG BEACH,CA,90815,USA,805-384-1060,805-383-2046,RICHARD,,,0,
79,0080294571-009803,WILMINGTON INSTRUMENT CO.,,,332 N. FRIES AVE.,WILMINGTON,CA,90744,USA,310-834-1133,,DOUG LARSON  SALES MGR.,,,0,
81,0080294590-EDI,INDUSTRIAL DISTRIBUTION GROUP,,,6842 WALKER STREET,LA PALMA,CA,90623,USA,714-994-6960,714-521-0208,,,,0,
82,0080294592-007188,PHILLIPS STEEL COMPANY,,,1368 WEST ANAHEIM STREET,LONG BEACH,CA,90813,USA,562-435-7571,562-437-1072,HAROLD BRIGHTENBURG,,,0,
83,0080294595-005160,INDUSTRIAL GASKET & SUPPLY CO.,,,23018 S. NORMANDIE AVE.  #G,TORRANCE,CA,90502,USA,310-530-1771,310-530-9572,RON GAGNI,,,0,
84,0080294598-002463,CORDOVA BOLT,,ACCT # 241,5601 DOLLY AVE.,BUENA PARK,CA,90621,USA,800-352-2902,714-944-2661,KATE,,,0,
85,0080294621-001885,CHEMCO PRODUCTS CO.,,,6401 E. ALONDRA BLVD.,PARAMOUNT,CA,90723,USA,562-602-2116,562-602-2811,NANETTE CHESLER,,,0,
86,0080294638-009518,VOSSLER & COMPANY,,,4917 LANKERSHIM BLVD.,NORTH HOLLYWOOD,CA,91601,USA,323-877-0611,818-509-8871,JACK OR THOMAS VOSSLER,,,0,
87,0080294652-001070,BASIN VALVE CO.,,,1500 E. BURNETT ST.,SIGNAL HILL,CA,90806,USA,562-424-8108,562-424-5189,,,,0,
88,0080294699-008213,SOUTHWESTERN TECHNICAL,,,3069 COLLEY,ESCONDITO,CA,92025,USA,760-741-9089,760-741-9141,TOM CUNNINGHAM,,,0,
89,0080294707-008665,THOMASON MECHANICAL CORP,,,19002 S. SANTA FE AVE.,RANCHO DOMINGUEZ,CA,90221-5909,USA,310-901-4798,310-639-8217,DAVID ERWIN,310 639-3523,,0,
90,0080294781-003349,DUTHIE POWER SERVICES,,,2335 E. CHERRY INDUSTRIAL CIR,LONG BEACH,CA,90805,USA,562-790-1772,,ERIC DUTHIE,,,0,
91,0080294795-001692,"CALTROL, INC.",,,2011 E. FINANCIAL WAY,GLENDORA,CA,91740,USA,626-963-1010,626-963-9629,BRIAN PITCHER,,,0,
92,0080294800-005505,KELLY PIPE,,,11700 BLOOMFIELD AVE.,SANTA FE SPRINGS,CA,90670,USA,562-868-0456,562-863-4695,RON GUMINSKI,,,0,
93,0080294829-004542,"DK VALVE & SUPPLY, INC.",,,2385 East Artesia Blvd,Long Beach,CA,80805,USA,562-529-8400,562-529-7566,EDDIE,,,0,
94,0080294856-009543,"SSM INDUSTRIES, INC.",,,P.O. Box 662,Spring City,TN,37381,USA,423-365 4048,423-365-4461,,,,0,
95,0080294887-082902,TR TRADING COMPANY,,,15604 S. Broadway,Gardena,CA,90248,USA,310 329-9242,310 329-0789,TRACY,,,0,
96,0080294964-006933,PACIFIC INSULATION COMPANY,,,24100 BROAD STREET,CARSON,CA,90745,USA,310-834-8275,310-834-5389,STEVE BUTLER,,,0,
97,0080295124-007254,PIPING TECHNOLOGY & PRODUCTS,,,3701 HOLMES ROAD,HOUSTON,TX,77051,USA,713-674-8484,713-731-8640,FLORENT ALBINA,,,0,
98,0080295206-004926,"METSO C/O RM CONTROLS, INC.",,,2363 TELLER RD.  #111,NEWBURY PARK,CA,91320,USA,805-499-4499,805-499-6616,RALPH MATTHEWS,,,0,
99,0080295504-040804,"SUPERIOR PIPE FABRICATORS, INC.",,,10211 S ALAMEDA ST,LOS ANGELES,CA,90002,USA,323-569-6500,323-569-6946,PERRY,,,0,
100,0080297974-110304,EXPEDITORS INTERNATIONAL OF WASHINGTON,,,"4260 FRONTAGE ROAD, SUITE #300",ATLANTA,GA,30354,USA,770-991-9333,770-991-9466,JUDI FELTRINELLI,,,0,
101,134076870-009531,VESSEL TECHNOLOGY,,,P.O. BOX 6570,LONGVIEW,TX,75608,USA,903-643-9111,903-643-9682,SCOTT MCDOWELL,,,0,
102,161399910-050340,"L.J. STAR, INC.",,,P.O. BOX 1116,TWINSBURG,OH,44087,USA,330-405-3040,330-405-3070,MICHAEL RINI,,,0,
103,2000209-008501,DUIKER COMBUSTION ENGINEERS B.V.,,,P.O. Box 114,Wateringen,,2290 AC,Netherlands,011-31-174282700,011-31-174298220,DICK KUIJPERS,,,0,
104,0080302098-010405,CRANE VALVE SERVICES,,,3948 TEAL COURT,BENECIA,CA,94510,USA,707-748-7166,,,,,0,
106,80297057,BRUCK GMBH ENSHCIML,,,Brückstrasse 16,,Saarbrücken,66131,Germany,011-49-241-7013100,011-49-241-70131020,RITA ROLAND,,,0,
107,941693764-007335,PRAXAIR DISTRIBUTION,,,P O BOX 14495,DES MOINES,IA,50306-3495,USA,714-564-7336,888-935-3399,MATT,,,0,
108,0080289497-091604,AIRGAS WEST,,,1955 E. 223RD ST.,CARSON,CA,90810,USA,310-233-3310,,HUGH ROBERTS OR LEO NELMS,,,0,
109,952582435-000787,AZTEC TECHNOLOGY CORPORATION,,,2550 SOUTH SANTA FE AVENUE,VISTA,CA,92084,USA,909-350-8830,909-350-3217,CHARLIE NIGH,,,0,
110,0080057419-002602,"OHMSTEDE, INC.",,,1750 Swisco Rd.,Sulphur,LA,70664,USA,337-625-7122,337-625-5304,,,,0,
111,0080289513-009673,"SCHUTTE & KOERTING, LLC",,,2510 Metropolitan Drive,Trevose,PA,19053,USA,623-214-5216,623-214-6193,,,,0,
112,0080294834-004148,"GARDENA WELDING SUPPLY CO, INC.",,,16601 S NORMANDIE AVE,Gardena,CA,90247-5431,USA,310-323-5850,310-323-5868,,,,0,
113,,ALLIANCE COOLING,,,123 W North Street,Healdsburg,CA,95448,USA,707-431-7960,,,,,0,
114,,"MASONEILAN - DRESSER, INC.",,,85 Bodwell Street,Avon,MA,02322-1190,USA,508-586-4600,508-941-5497,,,,0,
115,,"HCI, INC. SECURITY INTEGRATION",,,3166 Horseless Carriage Dr,NORCO,CA,92860,USA,909-520-4200,,,,,0,
116,0080017254-021505,"U.S. METALS, INC.",,,19102 GUNDLE RD.,HOUSTON,TX,77073-3514,USA,281-443-7473,281-443-6748,,,,0,
117,,NATIONAL ELECTRICAL CARBON PRODUCTS,,,PO BOX 1056,GREENVILLE,SC,29607,USA,864-458-7777,,,,,0,
118,0080291658-052604,JV INDUSTRIAL,,,1505 W. MAHALO PLACE,RANCHO DOMINGUEZ,CA,90220,USA,310-223-1800,310-223-1820,,,,0,
119,0080084062-013005,"VAPORKOTE, INC.",,,12128 WOODRUFF AVE.,DOWNEY,CA,90241-5642,USA,562-803-3215,562-803-1475,,,,0,
120,,SOUTHWEST FILTER COMPANY,,,"PARC ARTISANAL, RUE DE CORNMONT 9-11",SPRIMONT,,B-4141,BELGIUM,+32 (0) 4 360 94 65,+32 (0) 4 360 94 77,,,,0,
121,80041752,FIL-CLEAN CORPORATION,,,6122 GARDENDALE DR.,HOUSTON,TX,77092,USA,800-554-2312,864-675-0032,,,,0,
122,0080243766-051028,"BORN, INC.",,,9726 E. 42ND SUITE #224,TULSA,OK,74146,USA,918-582-2188,918-582-5163,,,,0,
124,0080295257-005436,JONES LUMBER CO.,,,"10711 S. ALAMEDA ST., PO BOX 40",LYNWOOD,CA,90262,USA,310-537-3862,323-564-5842,,,,0,
125,,HARMER STEEL PRODUCTS CO.,,,700 AIRPORT WAY,CHOWCHILLA,CA,93610-0174,USA,559-665-2050,559-665-2055,DAVE LYNN,,,0,
126,0080123385-022305,"STACKMATCH FLARE IGNITION, INC.",,,"620 HAGGARD, SUITE 610",PLANO,TX,75074,USA,800-523-9260,972-881-9324,BILL DAVIS,,,0,
127,0080306068-030805,"JAEGER PRODUCTS, INC.",,,1611 PEACH LEAF ST.,HOUSTON,TX,77039,USA,281-770-4873,281-449-7474,BERNARDO LUCERO,,,0,
128,0080289407-050203,"MIKRON INSTRUMENT COMPANY, INC.",,,16 THORTON RD.,OAKLAND,NJ,07436,USA,201-405-0900,201-405-0090,,,,0,
129,,"HENDERSON ENGINEERING COMPANY, INC.",,,95 N. MAIN ST.,SANDWICH,IL,60548,USA,815-786-9471,,,,,0,
130,0080289493-002001,"CIRCLE VALVE TECHNOLOGIES, INC.",,,1533 GEHMAN ROAD,HARLEYSVILLE,PA,19438,USA,267-933-6300,267-933-6305,,,,0,
131,0080291558-051005,"TRITEX TECHNOLOGIES, INC.",,,"4611 Langland Road, Suite 104",Dallas,TX,75244,USA,972-233-2536,972-233-5160,,,,0,
132,,RM CONTROLS,,,2363 TELLER ROAD SUITE 111,NEWBURY PARK,CA,91320,USA,805-499-4499,805-499-6616,,,,0,
133,0080290316-112702,"ROSEMOUNT, INC.",,,8200 MARKET BLVD.,CHANHASSEN,MN,55317,USA,800-999-9307,952-949-7001,,,,0,
134,,"HAMON RESEARCH-COTTRELL, INC.",,,58 EAST MAIN STREET,SOMERVILLE,NJ,08876,USA,908-685-4000,,,,,0,
136,0080315587-092505,CONSUMERS PIPE & SUPPLY COMPANY,,,10927 JASMINE STREET,FONTANA,CA,92337-6999,USA,323-889-5080,323-724-3781,,,,0,
137,,SURPLUS,,,,,,,USA,,,,,,0,
138,,"RM AUTOMATION, INC.",,,2363 TELLER RD. #112,NEWBURY PARK,CA,91320,USA,800-214-4499,,,,,0,
139,0080291615-00021103,CAMERON,,,8820 MELDRUM LANE,HOUSTON,TX,75373-0491,USA,510 928-1480,510-327-0322,RICK BLACK,,,0,
140,0080292283-002440,"COORDINATED WIRE ROPE & RIGGING, INC.",,,1707 E. ANAHEIM ST.,WILMINGTON,CA,90744,USA,310-834-8535,310-834-2991,,,,0,
141,0080289668-004457,GOLDEN STATE PAINT CORPORATION,,,23134 NORMANDIE AVE,TORRANCE,CA,90502,USA,310-530-9000,,,,,0,
271,0080317982,"A & M WELDING, INC.",,,16935 S. BROADWAY,CARSON,CA,90248,USA,310-3290385,310-3292700,,,,0,2007-5-12
144,,SURFACE MODIFICATIONS SYSTEMS,,,11297 PARK ST.,SANTA FE SPRINGS,CA,90670,USA,562-946-7472,562-946-8182,,,,0,
145,0080319424-122305,"A.V.C. SPECIALISTS, INC.",,,5145G COMMERCE AVE.,MOORPARK,CA,93021,USA,805-531-8900,805-531-8903,,,,0,
146,0080083137,AMERICAN MAINTENANCE SYSTEMS,,,12407 N. MOPAC EXPRESSWAY SUITE 100469,AUSTIN,TX,78758,USA,512-238-0962,512-238-0961,,,,0,
147,0080294534-001051,API BASCO,,,2777 WALDEN AVENUE,BUFFALO,NY,14225,USA,716-684-6700,716-684-2129,,,,0,
148,0080248071,"API HEAT TRANSFER, INC.",,,2777 WALDEN AVENUE,BUFFALO,NY,14225,USA,716-684-6700,716-684-2129,,,,0,
149,0080290000-EDI,APPLIED INDUSTRIAL TECHNOLOGY,,,ONE APPLIED PLAZA,CLEVELAND,OH,44115,USA,877-279-2799,,,,,0,
150,0080219681-020204,ASHTEAD TECHNOLOGY RENTALS,,,"18195 MCDURMOTT EAST, SUITE A/B",IRVINE,CA,92614,USA,949-955-3930,949-955-3932,,,,0,
151,0080295254-001127,BEI SENSORS & SYSTEMS,,,804-A RANCHEROS DR.,SAN MARCOS,CA,92069-3009,USA,760-744-5671,760-744-8815,,,,0,
152,0080291608-11807,CRANE PRO SERVICES,,,10310-2 PIONEER BLVD.,Santa Fe Springs,CA,90670,USA,562-903-1371,562-903-1375,,,,0,
153,0080289858-001178,BELZONA SYSTEMS OF CALIFORNIA,,,PO BOX 1178,TEMECULA,CA,92593-1178,USA,951-506-0177,,,,,0,
154,,BETTEN TRUCKS,,,,,,,USA,800-247-3999,321-777-5523,,,,0,
155,0080082602-070606,"BISHOP LIFTING PRODUCTS, INC.",,,125 McCARTY STREET,Houston,TX,77029,USA,713-674-2266,713-672-9229,,,,0,
156,0080291568,"BROWN FINTUBE COMPANY, LP",,,12602 FM 529,Houston,TX,77040,USA,713-466-3535,713 466-3701,SUSAN CLIFTON,,,0,
157,0080192756,CLEVELAND WIRE CLOTH & MFG CO.,,,3573 E 78th Street,Cleveland,OH,44105-1596,USA,800-321-3234,216-341-1876,CHET CRONE,,,0,
160,0080291360-051203,"DLE EQUIPMENT, INC.",,,"15581 Product Lane, Unit C5",Huntington Beach,CA,92648-1344,USA,714-799-2810,714-799-2820,,,,0,
161,0080289563-081203,DURALOY TECHNOLOGIES,,,120 Bridge Street,Scottdale,PA,15683,USA,724 887-5100,724-887-5224,,,,0,
162,0080289250-11424,"EMED COMPANY, INC.",,,P.O. Box 369,Buffalo,NY,14240-0369,USA,800-442-3633,800-344-2578,INSIDE SALES,,,0,
163,0080294772-003655,"EXECU-CREST, INC.",,,10827 Key West Avenue,Northridge,CA,91326,USA,818-832-6750,818-832-6459,ED LANG,,,0,
164,0080235543,FASTENAL COMPANY,,,,,,,USA,310-830-3276,310-830-4728,BRANDON,,,0,
165,0080294898-001307,"FLEXTECH ENGINEERING, INC.",,,760 FOUNTAIN SPRINGS LANE,Glendora,CA,91741,USA,626 914-2494,626-914-1404,DAVE SPECK,,,0,
166,0080294558-002980,"FLW, INC.",,,3505 Cadillac Ave - Bldg E,Costa Mesa,CA,92626,USA,714 751-7512,714 751-0213,,,,0,
167,0080289440-012204,FOSTER WHEELER NORTH AMERICA CORP.,,,PERRYVILLE CORPORATE PARK,Clinton,NJ,08809-4000,USA,908-713-3056,908-713-3065,,,,0,
168,0080184859-10367,"FURMANITE AMERICA, INC.",,,2059 DEL AMO BLVD,RANCHO DOMINGUEZ,CA,90220,USA,310-834-4511,310-763-1311,,,,0,
169,0080288869-007009,"GE INFRASTRUCTURE SENSING, INC.",,,7820 EAST TORIN STREET,LONG BEACH,CA,90899,USA,562-795-6143,562-795-6149,,,,0,
171,0080210622-004623,GRAYLOC PRODUCTS,,,11835 Charles St,Houston,TX,77041,USA,713-466-8853,713-937-2335,,,,0,
172,0089019718,"HAMWORTHY PEABODY COMBUSTION, INC.",,,70 Shelton Technology Center,Shelton,CT,06484-6406,USA,203-922-1199,203 922-9415,,,,0,
174,0080294593-00000887,"HARRIS STEEL FENCE CO., INC.",,,8728 S SAN PEDRO ST.,LOS ANGELES,CA,90003-3539,USA,323-751-4104,323-751-8812,DANIEL,,,0,
175,0080302692,HEAT TECHNOLOGY PRODUCTS,,,14971 CHESTNUT STREET SUITE B,WESTMINSTER,CA,92683,USA,714-549-0555,714 549-0556,,,,0,
176,0080288939-003493,"HILTI, INC.",,,5400 SOUTH 122ND EAST AVE.,TULSA,OK,74146,USA,310-851-9864,800-879-7000,BOB BARRETT,,,0,
177,,HUNTER BUILDING,,,,,,,USA,,,,,,0,
