id,valve_code,valve_note,manufacturers_remarks,discontinued,created_at,updated_at
92,V01781,"1. VALVE TO BE CAPABLE OF PASSING FUGITIVE EMISSION TEST OF 100 PPM OR  LOWER  WITH  METHANE GAS.  2. THERMAL RELIEF PIPING SHALL BE HARD PIPE, SCH 80 MINIMUM. ",,0,,
93,V01800,,,0,,
94,V01801,,DISCONTINUED,1,,
95,V01802,,DISCONTINUED,1,,
96,V01803,,DISCONTINUED,1,,
97,V01804,,,0,,
98,V01805,"VALVE SHALL BE FIRESAFE TO API-607, LATEST EDITION ",,0,,
99,V01806,"VALVE SHALL BE FIRESAFE TO API - 607, LATEST EDITION. ",,0,,
100,V01807,"VALVE SHALL BE FIRESAFE TO API-607, LATEST EDITION. ",,0,,
101,V01808,"WET H2S OR WET CO2 SERVICE.  FIRESAFE TO API-607, LATEST EDITION,  REQUIRED. ",,0,,
102,V01809,"1. WET H2S SERVICE.  FIRESAFE TO API-607, LATEST EDITION,  REQUIRED.  2. VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY  BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION  PAPER IS NOT      REQUIRED TO BE  SUBMITTED. ",,0,,
103,V01810,,,0,,
104,V01812,,DISCONTINUED,1,,
105,V01813,,,0,,
106,V01814,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE  TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
107,V01850,,,0,,
108,V01862,,,0,,
109,V01864,,,0,,
110,V02000,,,0,,
111,V02400,,,0,,
112,V02500,,,0,,
113,V02800,,,0,,
114,V02810,,,0,,
115,V02850,,,0,,
116,V03000,,,0,,
117,V03001,"1. ACCEPTABLE BONNET GASKET:  GARLOCK ""GYLON"" 3500 (FAWN)  2. ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT NO.     87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS, DATED 11/30/87. ",,0,,
118,V03002,,,0,,
119,V03003,,,0,,
120,V03004,,,0,,
121,V03005,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
122,V03006,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
123,V03007,,,0,,
124,V03008,"VALVE SHALL BE PREPARED AND SHIPPED FOR ""OXYGEN SERVICE"". ",,0,,
125,V03009,,,0,,
126,V03010,,,0,,
127,V03011,,,0,,
128,V03012,,,0,,
129,V03013,,,0,,
130,V03014,"ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT NO. 87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS, DATED 11/30/87. ",,0,,
131,V03015,,,0,,
132,V03016,,,0,,
133,V03017,,,0,,
134,V03020,,,0,,
135,V03030,,,0,,
136,V03040,,,0,,
137,V03045,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
138,V03050,,,0,,
139,V03060,,,0,,
140,V03071,,,0,,
141,V03081,,,0,,
142,V03085,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
143,V03090,,,0,,
144,V03100,,,0,,
145,V03150,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
146,V03155,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND     MATERIALS.  2. VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
147,V03300,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
148,V03301,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
149,V03302,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
150,V03304,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
151,V03305,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
152,V03350,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
153,V03351,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
154,V03352,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
155,V03353,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
156,V03400,,,0,,
157,V03401,,DISCONTINUED,1,,
158,V03402,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
159,V03403,,,0,,
160,V03404,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
161,V03406,,,0,,
162,V03407,,DISCONTINUED,1,,
163,V03408,"VALVE SHALL BE PREPARED AND SHIPPED FOR ""OXYGEN SERVICE"". ",,0,,
164,V03409,,,0,,
165,V03410,,,0,,
166,V03411,,,0,,
167,V03412,,,0,,
168,V03413,"ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT NO. 87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS, DATED 11/30/87. ",,0,,
169,V03420,,,0,,
170,V03421,,,0,,
171,V03431,,,0,,
172,V03440,,,0,,
173,V03441,,,0,,
174,V03445,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
175,V03446,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
176,V03447,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS.",,0,,
177,V03448,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
178,V03449,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
179,V03450,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
180,V03451,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
181,V03452,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
182,V03453,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
183,V03470,,,0,,
184,V03480,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
185,V03485,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS.  2. VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING     MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
186,V03500,"ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT NO. 87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS, DATED 11/30/87. ",,0,,
187,V03501,,DISCONTINUED,1,,
188,V03506,,,0,,
189,V03507,,,0,,
190,V03508,,DISCONTINUED,1,,
191,V03509,,,0,,
192,V03510,,,0,,
193,V03511,"VALVE SHALL BE PREPARED AND SHIPPED FOR ""OXYGEN SERVICE"". ",,0,,
194,V03512,,,0,,
195,V03520,,,0,,
196,V03521,,,0,,
197,V03522,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
198,V03523,,,0,,
199,V03540,,,0,,
200,V03541,,,0,,
201,V03561,,,0,,
202,V03580,,,0,,
203,V03610,,,0,,
204,V03700,,EXISTING AT C.P.,0,,
205,V03701,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",EXISTING AT C.P.,0,,
206,V03702,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
207,V03703,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",EXISTING AT C.P.,0,,
208,V03704,"ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT NO. 87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS,  DATED 11/30/87. ",,0,,
209,V03705,,,0,,
210,V03706,,,0,,
211,V03707,,,0,,
212,V03710,,,0,,
213,V03711,,,0,,
214,V03720,,EXISTING AT C.P.,0,,
215,V03780,"1. VALVE TO BE CAPABLE OF PASSING FUGITIVE EMISSION TEST OF 100 PPM OR     LOWER WITH METHANE GAS.  2. THERMAL RELIEF PIPING SHALL BE HARD PIPE, SCH 80 MINIMUM.",,0,,
216,V03781,"1. VALVE TO BE CAPABLE OF PASSING FUGITIVE EMISSION TEST OF  100 PPM OR    LOWER WITH METHANE GAS.  2. THERMAL RELIEF PIPING SHALL BE HARD PIPE, SCH 80 MINIMUM.",,0,,
217,V03800,,,0,,
218,V03801,,,0,,
219,V03802,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
220,V03803,,DISCONTINUED,1,,
221,V03804,,,0,,
222,V03805,"VALVE SHALL BE FIRESAFE TO API-607, LATEST EDITION. ",,0,,
223,V03806,"FIRESAFE TO API-607, LATEST EDITION REQUIRED. ",,0,,
224,V03807,"FIRESAFE TO API-607, LATEST EDITION REQUIRED. ",,0,,
225,V03808,"1. FOR WET H2S SERVICE.  FIRESAFE TO API-607, LATEST EDITION REQUIRED.  2. VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET  BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE  CERTIFICATION PAPER IS NOT REQUIREDTO BE SUBMITTED.",,0,,
226,V03811,,,0,,
227,V03820,,,0,,
228,V03830,,,0,,
229,V03840,,,0,,
230,V03850,,,0,,
231,V06000,,,0,,
232,V06001,,,0,,
233,V06002,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE MAGNETIC PARTICLE E",,0,,
234,V06003,,DISCONTINUED,1,,
235,V06004,,,0,,
236,V06005,,,0,,
237,V06006,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE MAGNETIC PARTICLE E",,0,,
238,V06007,,DISCONTINUED,1,,
239,V06008,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE LIQUID PENETRANT EX",,0,,
240,V06009,,,0,,
241,V06010,,,0,,
242,V06011,,,0,,
243,V06012,,,0,,
244,V06013,,,0,,
245,V06014,,,0,,
246,V06015,,,0,,
247,V06016,,,0,,
248,V06017,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
249,V06018,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
250,V06019,,,0,,
251,V06021,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE MAGNETIC PARTICLE E",,0,,
252,V06022,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE MAGNETIC PARTICLE E",,0,,
253,V06023,,,0,,
254,V06024,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE LIQUID PENETRANT EX",,0,,
255,V06025,,,0,,
256,V06026,,,0,,
257,V06027,,,0,,
258,V06030,,,0,,
259,V06060,,DISCONTINUED,1,,
260,V06061,,DISCONTINUED,1,,
261,V06062,,,0,,
262,V06063,,,0,,
263,V06071,"ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT NO. 87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS, DATED 11/30/87. ",,0,,
264,V06090,,,0,,
265,V06091,,,0,,
266,V06200,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
267,V06201,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
268,V06210,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND     MATERIALS.  2. VALVES SHALL COMPLY WITH NACE MR-01-75. NACE CERTIFICATION   PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
269,V06211,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND     MATERIALS.  2.RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESS",,0,,
270,V06220,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
271,V06300,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND     MATERIALS.  2.RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2      ACCEPTANCE FOR DEFECTS. ADDITIONALLY ALL AC",,0,,
272,V06301,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS. ",,0,,
273,V06302,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
274,V06303,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
275,V06304,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
276,V06305,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND     MATERIALS.  2.RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESS",,0,,
277,V06350,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS.  2. RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBL",,0,,
278,V06351,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
279,V06352,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
280,V06353,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS.  2. RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBL",,0,,
281,V06400,,,0,,
282,V06401,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED. ",,0,,
283,V06402,,DISCONTINUED,1,,
284,V06403,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE MAGNETIC PARTICLE E",,0,,
285,V06404,,,0,,
286,V06405,,DISCONTINUED,1,,
287,V06406,"RADIOGRAPH (RT) CRITICAL AREAS OF 2"" & LARGER VALVE BODIES AND BONNETS TO ASME B16.34, SECTION 8 & ANNEX B, SEVERITY LEVEL 2 ACCEPTANCE FOR DEFECTS. ADDITIONALLY, ALL ACCESSIBLE EXTERIOR & INTERIOR SURFACES OF BODIES & BONNETS SHALL BE MAGNETIC PARTICLE E",,0,,
