Manuf_Name,Contact_Name,Street,City,State,Zip,Phone_No,Alt_Phone_No,Last_Updt_Id,Last_Updt_Date
TAPCO                                             ,Tom Malone,5915 Brittmore Street,Houston,TX,77041,(713)466-0300,(   )   -,PCSSME,1998-1-20
TK Valves                                         ,Kerry Priola,2175 S.W. Railroad Ave.,Hammond,LA,70403,(504)345-6482,(   )   -,PCSSME,1998-1-20
VALVTRON (KEYSTONE)                               ,Marvin Beasley,7230 Empire Central Drive,Houston,TX,77040,(713)466-7200,(   )   -,PCSSME,1998-1-20
VANESSA                                           ,Chris Dana - Product Manager,9700 West Gulf Bank Road,Houston,TX,77240,(713)895-4078,(   )   -,PCSSME,1998-1-19
VELAN                                             ,John Farrel - Director of Engineering,,Huntington Beach,CA,92646,(714)965-6277,(   )   -,PCSSME,1998-11-30
VERNON TOOL                                       ,Robert Songe,503 Jones Rd.,Oceanside,CA,92054,(619)433-5860,(   )   -,PCSSME,1998-1-19
VOGT                                              ,Guy Jolly - Chief Engineer,P.O. Box 40010,LouivilleEl Monte,KY,40201,(502)634-1500,(   )   -,PCSSME,1998-11-30
WALWORTH                                          ,Dave Cornelson\, Director of Engineering,8383 Commerce Park Drive,Houston,TX,7703690601,(713)777-7788,(800)735-6007,PCSSME,1998-1-19
WHEATLY\, TOM - Check Valve                        ,Ian Hardy,11100 West Airport Blvd.,Stafford,TX,77477,(281)568-2211,(800)847-1099,PCSSME,1998-1-20
WHEATLY/GASO - Disaster Check                     ,Tim Coupples,3620 West 5th Street,Tulsa,OK,74127,(918)587-6731,(800)847-1099,PCSSME,1998-1-20
WORCESTER                                         ,Michael Miles - Engineering Manager,33 Locke Drive,Marlborough,MA,01752,(508)481-4800,(   )   -,PCSSME,1998-1-19
ZIDELL-DSI                                        ,Sam Legget,10600 Corporate Drive,Stafford,TX,77477,(800)231-3530,(   )   -,PCSSME,1998-1-20
ZIMMERMAN & JANSEN                                ,Swarup Patel - Mgr,620 North Houston Ave.,Humble,TX,77347,(281)446-8000,(   )   -,PCSSME,1998-1-20
