Valve_No,Valve_Comp_Name,Component_Text,Last_Updt_Id,Last_Updt_Date
V00535,TYPE                                              ,CHECK VALVE - BALL (DOUBLE ENTRY),PCS41CR ,1997-8-5
V00540,BALL                                              ,SOLID PTFE,PCS41CR ,1997-8-20
V00540,BODY                                              ,DUCTILE IRON\, ASTM A395\, FULLY LINED WITH FEP,PCS41CR ,1997-8-20
V00540,ENDS                                              ,FLANGED\, RAISED FACE (LINER),PCS41CR ,1997-8-20
V00540,PORT                                              ,FULL,PCS41CR ,1997-8-20
V00540,RATING                                            ,150 PSIG AT 100 DEGREES F.,PCS41CR ,1997-8-20
V00540,SERVICE                                           ,ABRASIVE FLUIDS CONTAINING SODA ASH AND CARBON SOLIDS.,PCS41CR ,1997-8-20
V00540,STANDARD                                          ,-,PCS41CR ,1997-8-20
V00540,TYPE                                              ,BALL CHECK,PCS41CR ,1997-8-20
V00541,BODY                                              ,DUCTILE IRON\, ASTM A395 OR A536\, FULLY LINED WITH HYPALON,PCS41CR ,1997-8-20
V00541,BONNET GASKET                                     ,NONE,PCS41CR ,1997-8-22
V00541,DISC                                              ,VITON INTERNALLY REINFORCED WITH STEEL,PCS41CR ,1997-8-20
V00541,ENDS                                              ,FLANGED\, RAISED FACE,PCS41CR ,1997-8-22
V00541,OTHER                                             ,COVER: DUCTILE IRON FULLY LINED WITH HYPALON,PCS41CR ,1997-8-20
V00541,PORT                                              ,N/A,PCS41CR ,1997-8-20
V00541,RATING                                            ,175 PSIG AT 100F.,PCS41CR ,1997-8-22
V00541,SERVICE                                           ,ABRASIVE FLUIDS CONTAINING SODA ASH AND CARBON SOLIDS.,PCS41CR ,1997-8-20
V00541,TYPE                                              ,FLAPPER CHECK,PCS41CR ,1997-8-20
V00700,BODY                                              ,DUCTILE IRON\, ASTM A395\, FULLY LINED WITH FEP,PCS41CR ,1997-8-12
V00700,BONNET                                            ,BOLTED\, DUCTILE IRON,PCS41CR ,1997-8-12
V00700,BONNET GASKET                                     ,TEFLON,PCS41CR ,1997-8-12
V00700,ENDS                                              ,RAISED FACE FLANGED,PCS41CR ,1997-8-12
V00700,PLUG                                              ,DUCTILE IRON ENCAPSULATED IN FEP,PCS41CR ,1997-8-12
V00700,PORT                                              ,N/A,PCS41CR ,1997-8-12
V00700,RATING                                            ,ASME/ANSI B16.42 CLASS 150,PCS41CR ,1997-8-12
V00700,SERVICE                                           ,ABRASIVE FLUIDS CONTAINING SODA ASH AND CARBON SOLIDS AND 2% TO 10% SULFURIC ACID DRAINS.,PCS41CR ,1997-8-20
V00700,STANDARD                                          ,ASME B16.34,PCS41CR ,1997-8-12
V00700,STEM                                              ,DUCTILE IRON,PCS41CR ,1997-8-12
V00700,TYPE                                              ,PLUG,PCS41CR ,1997-8-12
V00800,BODY                                              ,CAST DUCTILE IRON\, ASTM A395\, RUBBER LINED,,
V00800,BONNET                                            ,N/A,,
V00800,DISC                                              ,SOLID,,
V00800,ENDS                                              ,RAISED FACE W/UNTHREADED LUGS,,
V00800,OPERATOR                                          ,STD. LOCK HANDLE (2\" - 4\")\, ENCLOSED WORM GEAR (6\" & LARGER),,
V00800,PACKING                                           ,BUNA-N \"O\" RING,,
V00800,PORT                                              ,N/A,,
V00800,RATING                                            ,ANSI CLASS 125/150,,
V00800,STANDARD                                          ,API 609\, CATEGORY A,,
V00800,STEM                                              ,316 STAINLESS STEEL,,
V00800,TRIM                                              ,DISC: ALUMINUM BRONZE\, SEAT: BUNA-N,,
V00800,TYPE                                              ,BUTTERFLY,,
V00810,BODY                                              ,CAST DUCTILE IRON\, ASTM A395\, RUBBER LINED,,
V00810,BONNET                                            ,N/A,,
V00810,DISC                                              ,SOLID,,
V00810,ENDS                                              ,RAISED FACE W/UNTHREADED LUGS,,
V00810,OPERATOR                                          ,ENCLOSED WORM GEAR WITH FLAG INDICATOR\, LOCKING DEVICE AND STEM EXTENSION,,
V00810,PACKING                                           ,BUNA-N \"O\" RING,,
V00810,PORT                                              ,N/A,,
V00810,RATING                                            ,ANSI CLASS 125/150,,
V00810,STANDARD                                          ,API 609\, CATEGORY A,,
V00810,STEM                                              ,STAINLESS STEEL,,
V00810,TRIM                                              ,DISC: ALUMINUM BRONZE\, SEAT: EPDM OR BUNA-N,,
V00810,TYPE                                              ,BUTTERFLY,,
V00820,BODY                                              ,CARBON STEEL\, ASTM A216 GR. WCB FULLY LINED WITH CPE,PCS41CR ,1997-8-20
V00820,DISC                                              ,CARBON STEEL\, ASTM A216 GR. WCB FULLY LINED WITH CPE,PCS41CR ,1997-8-20
V00820,ENDS                                              ,CPE LINED,PCS41CR ,1997-8-20
V00820,OPERATOR                                          ,2\" - 4\" LEVER\, 6\" - 24\" GEAR,PCS41CR ,1997-8-20
V00820,RATING                                            ,150 PSIG AT 100 DEGREES F,PCS41CR ,1997-8-20
V00820,SEALS                                             ,TEFLON,PCS41CR ,1997-8-20
V00820,SERVICE                                           ,ABRASIVE FLUIDS CONTAINING SODA ASH AND  CARBON SOLIDS.,PCS41CR ,1997-8-20
V00820,STANDARD                                          ,-,PCS41CR ,1997-8-20
V00820,STEM                                              ,BARSTOCK CARBON STEEL,PCS41CR ,1997-8-20
V00820,TYPE                                              ,BUTTERFLY -  LUG TYPE,PCS41CR ,1997-8-20
V00830,BODY                                              ,SOLID PVC; ASTM D1784\, CLASS 13447-B,PCSSME  ,1999-7-20
V00830,BONNET                                            ,SCREWED\, END ENTRY,,
V00830,DISC                                              ,QUARTER-TURN BALL,,
V00830,ENDS                                              ,SOCKETWELD,,
V00830,OPERATOR                                          ,WRENCH,,
V00830,PACKING                                           ,VITON SEALS,,
V00830,PORT                                              ,N/A,,
V00830,RATING                                            ,150 PSI @ 73F,,
V00830,STANDARD                                          ,MANUFACTURER'S STANDARD,PCSSME  ,1999-7-7
V00830,STEM                                              ,SOLID PVC,,
V00830,TRIM                                              ,BALL: SOLID PVC\, SEATS: TEFLON,,
V00830,TYPE                                              ,BALL (TRUE UNION),,
V00831,BALL                                              ,CPVC,PCSSME  ,1999-7-7
V00831,BODY                                              ,CPVC\, ASTM D-1784\, CLASS 23447-B,PCSSME  ,1999-7-7
V00831,BONNET                                            ,THREADED\, END ENTRY,PCSSME  ,1999-7-7
V00831,ENDS                                              ,SOCKETWELD,PCSSME  ,1999-7-7
V00831,OPERATOR                                          ,WRENCH,PCSSME  ,1999-7-7
V00831,RATING                                            ,150 PSI @ 73F,PCSSME  ,1999-7-20
V00831,SEATS                                             ,TEFLON,PCSSME  ,1999-7-7
V00831,STANDARD                                          ,MANUFACTURER'S STANDARD,PCSSME  ,1999-7-7
V00831,STEM                                              ,CPVC,PCSSME  ,1999-7-7
V00831,STEM SEAL                                         ,VITON O-RING,PCSSME  ,1999-7-7
V00831,TYPE                                              ,BALL (TRUE UNION),PCSSME  ,1999-7-7
V00835,BODY                                              ,SOLID CPVC\,  ASTM F-439,PCS41CR ,1997-8-6
V00835,BONNET                                            ,INTEGRAL WITH BODY MOLD OR FUSED IN,PCS41CR ,1997-8-8
V00835,DISC                                              ,QUARTER-TURN BALL,PCS41CR ,1997-8-5
V00835,ENDS                                              ,SOCKETWELD,PCS41CR ,1997-8-5
V00835,OPERATOR                                          ,LEVER HANDLE,PCS41CR ,1997-8-8
V00835,PACKING                                           ,VITON SEALS,PCS41CR ,1997-8-5
V00835,PORT                                              ,N/A,PCS41CR ,1997-8-5
V00835,RATING                                            ,150 PSI @ 73F,PCS41CR ,1997-8-8
V00835,STANDARD                                          ,---,PCS41CR ,1997-8-5
V00835,STEM                                              ,SOLID CPVC,PCS41CR ,1997-8-5
V00835,TRIM                                              ,BALL: SOLID CPVC\, SEATS AND SEALS: VITON OR VITON O-RINGS,PCS41CR ,1997-8-8
V00835,TYPE                                              ,BALL (TRUE UNION),PCS41CR ,1997-8-5
V00836,BODY                                              ,SOLID CPVC\,  ASTM F-439,PCS41CR ,1997-8-6
V00836,BONNET                                            ,INTEGRAL WITH BODY MOLD OR FUSED IN,PCS41CR ,1997-8-8
V00836,DISC                                              ,QUARTER-TURN BALL,PCS41CR ,1997-8-5
V00836,ENDS                                              ,FLAT FACE FLANGED,PCS41CR ,1997-8-5
V00836,OPERATOR                                          ,LEVER HANDLE,PCS41CR ,1997-8-8
V00836,PACKING                                           ,VITON SEALS,PCS41CR ,1997-8-5
V00836,PORT                                              ,N/A,PCS41CR ,1997-8-5
V00836,RATING                                            ,150 PSI @ 120F,PCS41CR ,1997-8-8
V00836,STANDARD                                          ,---,PCS41CR ,1997-8-5
V00836,STEM                                              ,SOLID CPVC,PCS41CR ,1997-8-5
V00836,TRIM                                              ,BALL: SOLID CPVC\, SEATS AND SEALS: VITON OR VITON O-RINGS,PCS41CR ,1997-8-8
V00836,TYPE                                              ,BALL (TRUE UNION),PCS41CR ,1997-8-5
V00840,BODY                                              ,PVC,PCS41CR ,1997-8-5
V00840,ENDS                                              ,FLAT FACE W/UNTHREADED LUGS,PCS41CR ,1997-8-5
V00840,RATING                                            ,(TBD),PCS41CR ,1997-8-5
V00840,STANDARD                                          ,-,PCS41CR ,1997-8-5
V00840,TYPE                                              ,BUTTERFLY,PCS41CR ,1997-8-5
V00841,BALL                                              ,GRAPHITE FIBER REINFORCED DERAKANE 470 VINYL ESTER COMPOSITE,PCS41CR ,1997-8-8
V00841,BODY                                              ,FIBERGLASS REINFORCED DERAKANE 470 VINYL ESTER RESIN,PCS41CR ,1997-8-8
V00841,BOLTING                                           ,300 SERIES SS,PCS41CR ,1997-8-8
V00841,ENDS                                              ,FLANGED RF,PCS41CR ,1997-8-8
V00841,OPERATOR                                          ,WRENCH,PCS41CR ,1997-8-8
V00841,PACKING                                           ,TFE,PCS41CR ,1997-8-8
V00841,PORT                                              ,REGULAR,PCS41CR ,1997-8-8
V00841,RATING                                            ,CLASS 150 (275PSIG AT 210F),PCS41CR ,1997-8-8
V00841,SEALS                                             ,VITON OR TFE COATED VITON,PCS41CR ,1997-8-8
V00841,SEATS                                             ,VITON OR TFE,PCS41CR ,1997-8-8
V00841,STANDARD                                          ,FACE TO FACE DIMENSIONS TO ASME B16.10,PCS41CR ,1997-8-8
V00841,STEM                                              ,HASTELLOY C OR 316SS (OR HASTELLOY C)INSERT MOLDED WITH GRAPHITE FIBER REINFORCED VINYL ESTER COMPOSITE,PCS41CR ,1997-8-8
V00841,TYPE                                              ,FLOATING BALL,PCS41CR ,1997-8-8
V00842,BALL                                              ,GRAPHITE FIBER REINFORCED POLYSOLFONE COMPOSITE,PCSSME  ,1999-5-14
V00842,BODY                                              ,FIBERGLASS REINFORCED POLYSOLFONE RESIN,PCSSME  ,1999-5-14
V00842,BOLTING                                           ,300 SERIES SS,PCSSME  ,1999-5-14
V00842,ENDS                                              ,FLANGED RF,PCSSME  ,1999-5-14
V00842,OPERATOR                                          ,WRENCH,PCSSME  ,1999-5-14
V00842,PACKING                                           ,VIRGIN TFE,PCSSME  ,1999-5-14
V00842,PORT                                              ,REGULAR,PCSSME  ,1999-5-14
V00842,RATING                                            ,CLASS 150 (275PSIG AT 210F),PCSSME  ,1999-5-14
V00842,SEALS                                             ,VITON OR TFE COATED VITON,PCSSME  ,1999-5-14
V00842,SEATS                                             ,VITON OR VIRGIN TFE,PCSSME  ,1999-5-14
V00842,STANDARD                                          ,FACE TO FACE DIMENSIONS TO ASME B16.10,PCSSME  ,1999-5-14
V00842,STEM                                              ,HASTELLOY C OR 316SS (OR HASTELLOY C)INSERT MOLDED WITH GRAPHITE FIBER REINFORCED POLYSOLFONE COMPOSITE,PCSSME  ,1999-5-14
V00842,TYPE                                              ,FLOATING BALL,PCSSME  ,1999-5-14
V00845,BODY                                              ,PVC,PCS41CR ,1997-8-6
V00845,BONNET                                            ,N/A,PCS41CR ,1997-8-6
V00845,DISC                                              ,POLYPROPYLENE,PCS41CR ,1997-8-6
V00845,ENDS                                              ,FLAT FACE W/UNTHREADED LUGS,PCS41CR ,1997-8-6
V00845,OPERATOR                                          ,LEVER HANDLE 6\" AND SMALLER\, GEAR OPERATOR 8\" AND LARGER.,PCS41CR ,1997-8-6
V00845,PACKING                                           ,VITON SEALS OR O-RINGS,PCS41CR ,1997-8-8
V00845,PORT                                              ,N/A,PCS41CR ,1997-8-6
V00845,RATING                                            ,150 PSIG AT 120F,PCS41CR ,1997-8-8
V00845,SEATS                                             ,VITON,PCS41CR ,1997-8-6
V00845,STANDARD                                          ,-,PCS41CR ,1997-8-6
V00845,STEM                                              ,316SS,PCS41CR ,1997-8-6
V00845,TYPE                                              ,BUTTERFLY,PCS41CR ,1997-8-6
V00850,BODY                                              ,BRASS; ASTM B16 ALLOY 360,,
V00850,BONNET                                            ,N/A,,
V00850,DISC                                              ,PLUG TYPE,,
V00850,ENDS                                              ,SCREWED,,
V00850,OPERATOR                                          ,LEVER HANDLE,,
V00850,PACKING                                           ,N/A,,
V00850,PORT                                              ,N/A,,
V00850,RATING                                            ,75 PSIG,,
V00850,STANDARD                                          ,---,,
V00850,STEM                                              ,N/A,,
V00850,TRIM                                              ,PLUG: BRONZE\, SEAT: BRASS,,
V00850,TYPE                                              ,GAUGE COCK,,
V00860,BALL                                              ,DUCTILE IRON\, ASTM A395 FULLY LINED WITH FEP,PCS41CR ,1997-8-22
V00860,BODY                                              ,DUCTILE IRON\, ASTM A395 FULLY LINED WITH FEP,PCS41CR ,1997-8-22
V00860,ENDS                                              ,FLANGLED\, RAISED FACE,PCS41CR ,1997-8-22
V00860,OPERATOR                                          ,LEVER,PCS41CR ,1997-8-22
V00860,PACKING                                           ,PTFE OR PTFE-GRAPHITE,PCS41CR ,1997-8-22
V00860,RATING                                            ,CLASS 150,PCS41CR ,1997-8-22
V00860,SEATS                                             ,VIRGIN TEFLON\, NO GLASS REINFORCEMENT,PCSSME  ,1999-5-6
V00860,SERVICE                                           ,ABRASIVE FLUIDS CONTAINING SODA ASH AND CARBON SOLIDS.,PCS41CR ,1997-8-20
V00860,STANDARD                                          ,MANUFACTURER'S STANDARD\, TEST TO API 598,PCSSME  ,1999-5-6
V00860,STEM                                              ,SS\, ASTM A351 GR. CD-4MCu,PCS41CR ,1997-8-22
V00860,TYPE                                              ,BALL\, SHORT PATTERN,PCSSME  ,1999-5-6
V01000,BODY                                              ,FORGED CARBON STEEL; ASTM A105,,
V01000,BONNET                                            ,BOLTED\, OS&Y,,
V01000,DISC                                              ,SOLID,,
V01000,ENDS                                              ,RAISED FACE FLANGED,,
V01000,OPERATOR                                          ,HANDWHEEL,,
V01000,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V01000,PORT                                              ,REDUCED,,
V01000,RATING                                            ,ASME CLASS 150,,
V01000,STANDARD                                          ,API 602,,
V01000,STEM                                              ,11-13% CR.,,
V01000,TRIM                                              ,DISC: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED,,
V01000,TYPE                                              ,GATE,,
V01001,BODY                                              ,CAST ALLOY 20\, ASTM A351 OR A744\, GR. CN7M\, .03% MAX. CARBON CONTENT. PERFORM SURFACE CARBON ANALYSIS PER S23 OF ASTM A744.,SILVERM3,2008-12-4
V01001,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,2008-12-4
V01001,BONNET BOLTING                                    ,MANUFACTURER'S STANDARD (AUSTENITIC STAINLESS STEEL),PCSSME  ,2008-12-4
V01001,BONNET GASKET                                     ,PTFE\, GARLOCK \"GYLON\" 3500,SILVERM3,2008-12-4
V01001,DISC                                              ,SPLIT WEDGE OR DOUBLE DISC,,2008-12-4
V01001,ENDS                                              ,SOCKETWELD/SCREWED,,2008-12-4
V01001,OPERATOR                                          ,HANDWHEEL,,2008-12-4
V01001,PACKING                                           ,PTFE,,2008-12-4
V01001,PORT                                              ,FULL OR REDUCED,PCSSME  ,2008-12-4
V01001,RATING                                            ,ASME CLASS 150,,2008-12-4
V01001,STANDARD                                          ,ASME B16.34,,2008-12-4
V01001,STEM                                              ,ALLOY 20,,2008-12-4
V01001,TRIM                                              ,ALLOY 20,,2008-12-4
V01001,TYPE                                              ,GATE,,2008-12-4
V01002,BODY                                              ,CAST ALLOY 20\, ASTM A351 OR  A744\, GR. CN7M\, .03% MAX. CARBON CONTENT. PERFORM SURFACE CARBON ANALYSIS PER S23 OF ASTM A744.,SILVERM3,2008-12-4
V01002,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,2008-12-4
V01002,BONNET BOLTING                                    ,MANUFACTURER'S STANDARD (AUSTENITIC STAINLESS STEEL),PCSSME  ,2008-12-4
V01002,BONNET GASKET                                     ,PTFE\, GARLOCK \"GYLON\" 3500,SILVERM3,2008-12-4
V01002,DISC                                              ,SPLIT WEDGE OR DOUBLE DISC,,2008-12-4
V01002,ENDS                                              ,RAISED FACE FLANGED,,2008-12-4
V01002,OPERATOR                                          ,HANDWHEEL,,2008-12-4
V01002,PACKING                                           ,PTFE,,2008-12-4
V01002,PORT                                              ,FULL OR REDUCED,PCSSME  ,2008-12-4
V01002,RATING                                            ,ASME CLASS 150,,2008-12-4
V01002,STANDARD                                          ,ASME B16.34,,2008-12-4
V01002,STEM                                              ,ALLOY 20,,2008-12-4
V01002,TRIM                                              ,ALLOY 20,,2008-12-4
V01002,TYPE                                              ,GATE,,2008-12-4
V01003,BODY                                              ,FORGED CARBON STEEL; ASTM A105,,
V01003,BONNET                                            ,BOLTED\, OS&Y,,
V01003,DISC                                              ,SOLID,,
V01003,ENDS                                              ,RAISED FACE FLANGED,,
V01003,OPERATOR                                          ,HANDWHEEL,,
V01003,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V01003,PORT                                              ,REDUCED,,
V01003,RATING                                            ,ASME CLASS 150,,
V01003,STANDARD                                          ,API 602,,
V01003,STEM                                              ,316 STAINLESS STEEL,,
V01003,TRIM                                              ,DISC: 316 STAINLESS STEEL\, SEAT: 316 STAINLESS STEEL\, CO CR-A HARDFACED,,
V01003,TYPE                                              ,GATE,,
V01004,BODY                                              ,CAST CARBON STEEL; A216\, GR. WCB,,
V01004,BONNET                                            ,BOLTED\, OS&Y,,
V01004,DISC                                              ,SOLID OR FLEXIBLE,,
V01004,ENDS                                              ,RAISED FACE FLANGED,,
V01004,OPERATOR                                          ,2\"-10\" HANDWHEEL\, 12\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V01004,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V01004,PORT                                              ,FULL,,
V01004,RATING                                            ,ASME CLASS 150,,
V01004,STANDARD                                          ,API 600,,
V01004,STEM                                              ,316 STAINLESS STEEL,,
V01004,TRIM                                              ,DISC: 316 STAINLESS STEEL\, SEAT: 316 STAINLESS STEEL\, CO CR-A HARDFACED,,
V01004,TYPE                                              ,GATE,,
V01005,BODY                                              ,CAST 316 STAINLESS STEEL; ASTM A351\, GR. CF8M,,
V01005,BONNET                                            ,BOLTED\, OS&Y,,
V01005,DISC                                              ,SOLID\, FLEXIBLE\, OR DOUBLE DISC,,
V01005,ENDS                                              ,RAISED FACE FLANGED,,
V01005,OPERATOR                                          ,1/2\" - 10\" HANDWHEEL\, 12\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V01005,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V01005,PORT                                              ,FULL OR REDUCED,PCSSME  ,1998-10-8
V01005,RATING                                            ,ASME CLASS 150,,
V01005,STANDARD                                          ,ASME B16.34,,
V01005,STEM                                              ,316 STAINLESS STEEL,,
V01005,TRIM                                              ,DISC: 316 STAINLESS STEEL\, SEAT: 316 STAINLESS STEEL\, CO CR-A HARDFACED,,
V01005,TYPE                                              ,GATE,,
V01006,BODY                                              ,CAST 316LSS; ASTM A351\, GR. CF3M,,
V01006,BONNET                                            ,BOLTED\, OS&Y,,
V01006,DISC                                              ,SOLID OR DOUBLE DISC,,
V01006,ENDS                                              ,SOCKETWELD/SCREWED,,
V01006,OPERATOR                                          ,HANDWHEEL,,
V01006,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V01006,PORT                                              ,REDUCED OR FULL,,
