Class_Code,Rev_Date,Piping_Comp_Name,Rev_Desc,Last_Updt_Id,Last_Updt_Date
BV1 ,20090213,FLANGES                                                                                             ,"Added following Note to SOCKETWELD, SCHEDULE 80 BORE:  #493",LOOMT0  ,2009-2-13
BV2 ,20090213,FLANGES                                                                                             ,"Added following Note to SOCKETWELD, SCHEDULE 40 BORE & SOCKETWELD 80 BORE:  #493",LOOMT0  ,2009-2-13
BW1 ,20070908,GATE VALVES                                                                                         ,ADDED TO POPV,HEDSTX  ,2007-9-8
BW1 ,20070921,SECTION                                                                                             ,SPEC ADDED TO POPV,HEDSTX  ,2007-9-21
BW1 ,20080905,,"Added following special notes:   F.  Ensure all cast iron flanges are mated with flat face flanges, and using full face gaskets.  G.  A flanged trasition spool, to class CLB, shall be used between above ground CLB piping and underground BW1 piping.  The top flange pair (above ground) shall incorporate an isolation kit and stainless steel fasterners (ASTM A193 GRB8M bolts and A194 GR8 nuts).  The bottom flange pair (under ground) shall also use the same stainless steel fasteners, and shall have the ductile iron backup ring wrapped for corrosion protection.  H.  See Department of Health Water System Design Manual (at ww.doh.wa.gov) for additional requirements such as separation and embedment.",LOOMT0  ,2008-9-5
BW1 ,20080908,FLANGES                                                                                             ,"Changed Description to read:  CLASS 150 STEEL ASTM A105 TO  ASME B16.5 1-1/2"" - 24""  BLIND, RAISED FLAT FACE  Deleted- CLASS 300 DUCTILE IRON ASTM A536 GR 60/40/18 TO 65/45/12 ASME B16.42 (note 304) 1-1/2""-24""  BLIND, RAISED FACE LAP JOINT BACK-UP RING  (note 475) ",LOOMT0  ,2008-9-8
BW1 ,20080908,PIPE                                                                                                ,Added - NSF-61 (STRAIGHT LENGTHS ONLY) and note#490 to description,LOOMT0  ,2008-9-8
BW1 ,20080908,STEAM TRAP                                                                                          ,"Changed description to read: 925 PSIG @ 800F, A216 Gr. WCB, FLANGED",LOOMT0  ,2008-9-8
BW1 ,20090210,,"Added following Maint Notes: 1.  ONLY THE FOLLOWING MAINTENANCE ITEMS PERMITTED.    A.  INSTALLATION OF VALVES, FITTINGS, AND METERS, INCLUDING BACKFLOW PREVENTION ASSEMBLIES.      B.  REPAIR OF A SYSTEM COMPONENT OR REPLACEMENT WITH A COMPONENT OF A SIMILAR CAPACITY AND MATERIAL IN ACCORDANCE WITH THE ORIGINAL CONSTRUCTION SPECIFICATIONS OF THE APPROVED DESIGN.  FOR THE PURPOSES OF REPLACING EXISTING PIPE, SIMILAR CAPACITY INCLUDES ONE STANDARD PIPE SIZE LARGER.      C. MAINTENANCE OR PAINTING OF SURFACES NOT CONTACTING POTABLE WATER.      D.  CONTACT MAINTENANCE RELIABILITY FOR OTHER REPAIRS. ",LOOMT0  ,2009-2-10
BW1 ,20090213,,Updated Specian Note A:  changed PE34564C to PE345464C,LOOMT0  ,2009-2-13
BW1 ,20090427,,"Special Note: added notation ""F"" for pressure- temp rating chart and changed following notations.",LOOMT0  ,2009-4-27
CA  ,19970109,PIPE                                                                                                ,Changed A53 and API 5L to A106,PCSSME  ,1997-1-9
CA  ,19970116,BELLOWS- SEAL GATE VALVES                                                                           ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CA  ,19970116,BELLOWS- SEAL GLOBE VALVES                                                                          ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CA  ,19970422,BALL VALVES                                                                                         ,Changed temp. limit for 300 Class ball valves to 400F. ,PCSSME  ,1997-4-22
CA  ,19970708,FITTINGS                                                                                            ,Added Note 163 for the seamless fittings. Added 100% RT requirements for the welded fittings.,PCSSME  ,1997-7-10
CA  ,19970715,CHECK VALVES                                                                                        ,Add Maintenance Note B for replacement in kind of Wafer Style Check valve.  ,PCSSME  ,1997-7-15
CA  ,19971203,BALL VALVES                                                                                         ,"Changed wrench operator to round or oval in 2"" and smaller valve sizes.",PCSSME  ,1997-12-3
CA  ,19971204,,"Made all BSV's full stellited, from half stellited, to match manufacturers' standard.",PCSSME  ,1997-12-4
CA  ,19971204,BALL VALVES                                                                                         ,"To comply with ASME B16.10 short pattern face to face dimension, added ""short pattern"" in the V-sheets for class 150 valves and replaced the V-Numbers for 300 class valves.",PCSSME  ,1997-12-4
CA  ,19971204,GATE VALVES                                                                                         ,"Added a Special Note that gate valves 2"" and smaller are considered tight shut off.",PCSSME  ,1997-12-4
CA  ,19971208,GASKETS                                                                                             ,Replaced Tang Core with JM Clipper Elastagraph or approved substitute.,PCSSME  ,1997-12-8
CA  ,19980708,GATE VALVES                                                                                         ,Added extended body valves for vents and drains.,PCSSME  ,1998-7-8
CA  ,19980805,ORBIT VALVES (MAX. 500F)                                                                            ,Added Note 176 stating that Orbit valves are fully bi-directional at full rated pressure.,PCSSME  ,1998-8-5
CA  ,19980810,PIPE                                                                                                ,Added Note 184 to allow welded (ERW) pipe to be substituted for seamless in Nitrogen and Process Air services.,PCSSME  ,1998-8-10
CA  ,19990510,GATE VALVES                                                                                         ,Added screwed end valves for EPA regulated fluid only.,PCSSME  ,1999-5-10
CA  ,19990511,BUTTERFLY VALVES                                                                                    ,Added,PCSSME  ,1999-5-11
CA  ,19990608,PLUGS                                                                                               ,Changed to pressure relief plugs,PCSSME  ,1999-6-8
CA  ,20021016,GASKETS                                                                                             ,"REMOVED ASBESTOS ENTRY FROM GASKET. R.F.  ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
CA  ,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CA  ,20060223,GATE VALVES                                                                                         ,DELETED EXT BODY VALVES AND APPLICABLE NOTE 185,FLORJR  ,2006-2-23
CA  ,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CA  ,20071010,GAUGE VALVES                                                                                        ,"Removed (CP ONLY) from component name and changed the following: 6980 PSIG, MALE THREADED END 3/4""  STAINLESS STEEL, 1/2"" FNPT SIDE OUTLET  changed Code to V60811 and change in Note #6 decription. See general history",LOOMT0  ,2007-10-10
CA  ,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
CA  ,20071011,GAUGE VALVES (FOR C.P. ONLY)                                                                        ,"Changed description: 6980 PSIG, MALE THREADED END 3/4""   STAINLESS STEEL, 1/2"" FNPT SIDE OUTLET, INTEGRAL BLEED VALVE Changed:Code to #V60811 ",LOOMT0  ,2007-10-11
CA  ,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CA  ,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CA  ,20071101,GAUGE VALVES (FOR C.P. ONLY)                                                                        ,ADDED NOTE 139 TO GAYGE VALVE ENTRY.,FLORJR  ,2007-11-1
CA  ,20090210,FLANGES                                                                                             ,Added line class note #493 #494,LOOMT0  ,2009-2-10
CA2 ,20021016,GASKETS                                                                                             ,"ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
CA2 ,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CA2 ,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CA2 ,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
CA2 ,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CA2 ,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CA2 ,20090211,FLANGES                                                                                             ,added note #493,LOOMT0  ,2009-2-11
CA3 ,20021016,GASKETS                                                                                             ,"ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
CA3 ,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CA3 ,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CA3 ,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
CA3 ,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CA3 ,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CA4 ,20021016,GASKETS                                                                                             ,"ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
CA4 ,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CA4 ,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CA4 ,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
CA4 ,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CA4 ,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAA ,19961217,PIPE                                                                                                ,Changed A53 and API 5L to A106.,PCSSME  ,1997-1-9
CAA ,19970116,BELLOWS- SEAL GATE VALVES                                                                           ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CAA ,19970116,BELLOWS- SEAL GLOBE VALVES                                                                          ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CAA ,19970709,FITTINGS                                                                                            ,Added Note 163,PCSSME  ,1997-7-9
CAA ,19971204,,"Changed temp. limit from 750F to 800F. Made all BSV's full stellited, from half stellited, to match manufacturers' standard.",PCSSME  ,1997-12-4
CAA ,19971204,GATE VALVES                                                                                         ,"Added a Special Note that gate valves 2"" and smaller are considered tight shut off.",PCSSME  ,1997-12-4
CAA ,19971208,GASKETS                                                                                             ,Added JM Clipper Elastagraph or approved substitute. Added Note 169 to spiral wound gasket.,PCSSME  ,1997-12-8
CAA ,19980708,GATE VALVES                                                                                         ,Added extended body valves for vents and drains.,PCSSME  ,1998-7-8
CAA ,19980805,ORBIT VALVES                                                                                        ,Added Note 176 stating that Orbit valves are fully bi-directional at full rated pressure.,PCSSME  ,1998-8-5
CAA ,19990510,GATE VALVES                                                                                         ,Added screwed end valves for EPA rulated fluid only.,PCSSME  ,1999-5-10
CAA ,19990511,BUTTERFLY VALVES                                                                                    ,Added,PCSSME  ,1999-5-11
CAA ,19990608,PLUGS                                                                                               ,Changed to pressure relief plugs,PCSSME  ,1999-6-8
CAA ,20021016,GASKETS                                                                                             ,"ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
CAA ,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CAA ,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CAA ,20071009,GATE VALVES                                                                                         ,DELETED EXT BODY VALVES,LOOMT0  ,2007-10-9
CAA ,20071010,PLUGS                                                                                               ,Added:  CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
CAA ,20071011,GAUGE VALVES (FOR C.P. ONLY)                                                                        ,"Changed description: 6980 PSIG, MALE THREADED END 3/4""   STAINLESS STEEL, 1/2"" FNPT SIDE OUTLET, INTEGRAL BLEED VALVE Changed:Code to #V60811 ",LOOMT0  ,2007-10-11
CAA ,20071024,GATE VALVES                                                                                         ,"1/2""-1-1/2"" SOCKETWELD/SCREWED API 602, V08010: Changed Note from 174 to 5",LOOMT0  ,2007-10-24
CAA ,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAA ,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAA ,20090211,FLANGES                                                                                             ,added note #493,LOOMT0  ,2009-2-11
CAA1,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CAA1,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CAA1,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
CAA1,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAA1,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAB ,19961217,PIPE                                                                                                ,Changed A53 and API 5L to A106.,PCSSME  ,1997-1-9
CAB ,19970116,BELLOWS- SEAL GATE VALVES                                                                           ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CAB ,19970116,BELLOWS- SEAL GLOBE VALVES                                                                          ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CAB ,19970709,FITTINGS                                                                                            ,Added Note 163,PCSSME  ,1997-7-9
CAB ,19971204,,"Made all BSV's full stellited, from half stellited, to match manufacturers' standard.",PCSSME  ,1997-12-4
CAB ,19971204,GATE VALVES                                                                                         ,"Added a Special Note that gate valves 2"" and smaller are considered tight shut off.",PCSSME  ,1997-12-4
CAB ,19971208,GASKETS                                                                                             ,Added JM Clipper Elastagraph or approved substitute. Added Note 169 to spiral wound gasket.,PCSSME  ,1997-12-8
CAB ,19980708,GATE VALVES                                                                                         ,Added extended body valves for vents and drains,PCSSME  ,1998-7-8
CAB ,19980805,ORBIT VALVES (MAX. 500F)                                                                            ,Added Note 176 stating that Orbit valves are fully bi-directional at full rated pressure.,PCSSME  ,1998-8-5
CAB ,19990510,GATE VALVES                                                                                         ,Added screwed end valves for EPA regulated fluid only.,PCSSME  ,1999-5-10
CAB ,19990511,BUTTERFLY VALVES                                                                                    ,Added,PCSSME  ,1999-5-11
CAB ,19990608,PLUGS                                                                                               ,Changed to pressure relief plugs.,PCSSME  ,1999-6-8
CAB ,20021120,,"RE-INSERTED PREVIOUSLY OMITTED NOTE ""GOVERNED BY API 941-NELSON CURVE"" IN MAXIMUM TEMPERATURE FIELD. R.F.",COBBS2  ,2002-11-20
CAB ,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CAB ,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CAB ,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
CAB ,20071024,,Added special note:   C.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB,LOOMT0  ,2007-10-24
CAB ,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAB ,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAB ,20090210,,Index Info-Temp: deleted 750F,LOOMT0  ,2009-2-10
CAB ,20090211,FLANGES                                                                                             ,added note#493 & #494,LOOMT0  ,2009-2-11
CAB2,20070928,,NEW SPEC FROM ULSD PROJECT,HEDSTX  ,2007-9-28
CAB2,20071011,PLUGS                                                                                               ,Added:  CUT PER WESTBROOK MANUFACTURING DWG. #030601-4,LOOMT0  ,2007-10-11
CAB2,20071018,GAUGE VALVES (FOR C.P. ONLY)                                                                        ,"Replaced- 4000#-6000# MALE SOCKETWELD END With- 6980 PSIG, MALE THREADED END  3/4"" - changed description to: STAINLESS STEEL, 1/2"" FNPT SIDE OUTLET, INTERGRAL BLEED VALVE  Replaced- V60800 with V060811 ",LOOMT0  ,2007-10-18
CAB2,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAB2,20071025,TEMPERATURE CONNECTION                                                                              ,"Changed from: 'SEE DRW. LA-0100-16 ' to: 'SEE DRW. LA-0100-16 ' , Changed from: 'SEE DRW. LA-0100-16 - 1' to: 'SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
CAB2,20090211,FLANGES                                                                                             ,added note #493,LOOMT0  ,2009-2-11
CAC ,19961217,PIPE                                                                                                ,Changed A53 and API 5L to A106.,PCSSME  ,1997-1-9
CAC ,19970116,BELLOWS- SEAL GATE VALVES                                                                           ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CAC ,19970116,BELLOWS- SEAL GLOBE VALVES                                                                          ,Added BSVs with 321SS bellows.,PCSSME  ,1997-1-16
CAC ,19970422,BALL VALVES                                                                                         ,Changed temp. limit for 300 Class ball valves to 400F.,PCSSME  ,1997-4-22
CAC ,19970709,FITTINGS                                                                                            ,Added Note 163,PCSSME  ,1997-7-9
CAC ,19970715,CHECK VALVES                                                                                        ,Added Maintenance Note C for replacement in kind of Wafer Style check valve.,PCSSME  ,1997-7-15
CAC ,19971203,BALL VALVES                                                                                         ,"Changed wrench operator to round or oval in 2"" and smaller valve sizes.",PCSSME  ,1997-12-3
CAC ,19971204,,"Made all BSV's full stellited, from half stellited, to match manufacturers' standard.",PCSSME  ,1997-12-4
CAC ,19971204,BALL VALVES                                                                                         ,"To comply with ASME B16.10 short pattern face to face dimension, added ""short pattern"" in the V-sheets for class 150 valves and replaced the V-Numbers for 300 class valves.",PCSSME  ,1997-12-4
CAC ,19971204,GATE VALVES                                                                                         ,"Added a Special Note that gate valves 2"" and smaller are considered tight shut off.",PCSSME  ,1997-12-4
CAC ,19971208,GASKETS                                                                                             ,Replaced Tang Core with JM Clipper Elastagraph or approved substitute. ,PCSSME  ,1997-12-8
CAC ,19980708,GATE VALVES                                                                                         ,Added extended body valves for vents and drains.,PCSSME  ,1998-7-8
CAC ,19980805,ORBIT VALVES SEAT (MAX. 500F)                                                                       ,Added Note 176 stating that Orbit valves are fully bi-directional at full rated pressure.,PCSSME  ,1998-8-5
CAC ,19990511,BUTTERFLY VALVES                                                                                    ,Added,PCSSME  ,1999-5-11
CAC ,19990608,PLUGS                                                                                               ,Changed to pressure relief plugs.,PCSSME  ,1999-6-8
CAC ,20020801,GATE VALVES                                                                                         ,CORRECTED V-NUMBER FROM V08011 TO V08016. R. FLORES.,COBBS2  ,2002-8-1
CAC ,20021016,GASKETS                                                                                             ,"REMOVED ASBESTOS ENTRY FROM GASKET. R.F.  ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
CAC ,20041208,ORIFICE FLANGES                                                                                     ,Removed Jack Screws from the description,FLORJR  ,2004-12-8
CAC ,20071002,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202 ' to: 'SEE DWG LA-0100-16 ' ",HEDSTX  ,2007-10-2
CAC ,20071009,GATE VALVES                                                                                         ,DELETED EXT BODY VALVES,LOOMT0  ,2007-10-9
CAC ,20071011,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG. #030601-4,LOOMT0  ,2007-10-11
CAC ,20071018,GAUGE VALVES (FOR C.P. ONLY)                                                                        ,"Replaced- 4000#-6000# MALE SOCKETWELD END With- 6980 PSIG, MALE THREADED END  3/4"" - changed description to: STAINLESS STEEL, 1/2"" FNPT SIDE OUTLET, INTERGRAL BLEED VALVE  Replaced- V60800 with V060811 ",LOOMT0  ,2007-10-18
CAC ,20071024,,Added special note:   D.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB,LOOMT0  ,2007-10-24
CAC ,20071024,GATE VALVES                                                                                         ,"1/2""- 1-1/2"" SOCKETWELD/SCREWED API 602, V08010: Changed note from 174 to 5",LOOMT0  ,2007-10-24
CAC ,20071025,TEMP CONN                                                                                           ,"Changed from: 'SEE DWG LA-0100-16 ' to: 'Z ' , Changed from: 'Z - 37' to: 'FLANGED THERMOWELL NOZZLE INSTALLATION DETAIL - SEE DRW. LA-0100-16 ' ",HEDSTX  ,2007-10-25
