Class_Code,Service,Flange_Rating,Max_Pressure,Max_Temp,Corrosion_Allow,Piping_Material,Small_Fitting,Valve_Body_Mtl,Valve_Trim,Gasket_Material,Gasket_Bolting,Instr_Spec,Comments,Last_Updt_Id,Last_Updt_date,Special_Note,Maintenance_Note
BW1 ,UTILITY AND POTABLE WATER (UNDERGROUND ONLY),CL 125 FF / CL 150 RF,150 PSIG,140F REFER TO SPECIAL NOTES,NONE,HDPE,HDPE,CAST IRON,12 CR/ STELL./ BRONZE,SBR,B7 STUD,NONE, ,,2009-4-27,"A.  HDPE MATERIALS SHALL BE PROVIDED WITH LONG TERM UV PROTECTION (2-3% CARBON BLACK). THIS IS INTRINSIC TO PE345464C CLASS MATERIALS.  B.  THE EFFECTS OF SURGE PRESSURE ON THE SYSTEM SHALL BE REVIEWED FOR DESIGN VELOCITIES GREATER THAN 5 FPS.  C.  LEAK TEST SYSTEM PER ASME B31.3, SECTION A345.4 - THERMOPLASTIC PIPING, AND ASTM F2164.  PNEUMATIC TESTING IS NOT ALLOWED.  ASME B16.42 FLANGE LIMITED HYDROTEST PRESSURES EXCEED HDPE PIPE PRESSURE RATING AND ARE NOT ACCEPTABLE.  PRESSURE TESTING OF HDPE PIPING SYSTEMS REQUIRES SPECIAL ATTENTION TO EXPANSION, WATER MAKE UP, AND DURATION.  SEE PLASTICS PIPE INSTITUTE (PPI) HANDBOOK OF POLYETHYLENE PIP CHAPTER 2.  D.  ALL HDPE PIPING SYSTEMS THAT HANDLE POTABLE WATER SHALL BE DISINFECTED PRIOR TO USE IN ACCORDANCE WITH AWWA C 651.  DISINFECTION SOLUTION SHALL NOT EXCEED 12% CHLORINE.  AFTER DISINFECTION, THOROUGH FLUSHING OF ALL LINES IS REQUIRED TO REMOVE ALL STRONG CONCENTRATIONS OF SANITIZING SOLUTION.  E.  HDPE MATERIALS SHALL NOT BE USED IN HYDROCARBON (2% CONCENTRATION OR GREATER) CONTAMINATED SOIL CONDITIONS.        F.  PRESSURE - TEMPERATURE RATING:  INTERPOLATE FOR INTERMEDIATE VALUES  PRESS, PSIG:      150         124     100          80  TEMP, DEG F:  32 TO 73     100     120     140 MAX   G.  ENSURE ALL CAST IRON FLANGES ARE MATED WITH FLAT FACE FLANGES, AND USING FULL FACE GASKETS.  H. A FLANGED TRANSITION SPOOL, TO CLASS CLB, SHALL BE USED BETWEEN ABOVE GROUND CLB PIPING AND UNDERGOUND BW1 PIPING.  THE TOP FLANGE PAIR (ABOVE GROUND) SHALL INCORPORATE AN ISOLATION KIT.  THE BOTTOM FLANGE PAIR (UNDER GROUND) SHALL USE STAINLESS STEEL FASTENERS (ASTM A193 GRB8M BOLTS AND A194 GR8 NUTS), AND SHALL HAVE THE DUCTILE IRON BACKUP RING WRAPPED FOR CORROSION PROTECTION.  I.  SEE DEPARTMENT OF HEALTH WATER SYSTEM DESIGN MANUAL (at ww.doh.wa.gov) FOR ADDITIONAL REQUIREMENTS SUCH AS SEPARATION AND EMBEDMENT.","1.  ONLY THE FOLLOWING MAINTENANCE ITEMS PERMITTED.    A.  INSTALLATION OF VALVES, FITTINGS, AND METERS, INCLUDING BACKFLOW PREVENTION ASSEMBLIES.      B.  REPAIR OF A SYSTEM COMPONENT OR REPLACEMENT WITH A COMPONENT OF A SIMILAR CAPACITY AND MATERIAL IN ACCORDANCE WITH THE ORIGINAL CONSTRUCTION SPECIFICATIONS OF THE APPROVED DESIGN.  FOR THE PURPOSES OF REPLACING EXISTING PIPE, SIMILAR CAPACITY INCLUDES ONE STANDARD PIPE SIZE LARGER.      C. MAINTENANCE OR PAINTING OF SURFACES NOT CONTACTING POTABLE WATER.      D.  CONTACT MAINTENANCE RELIABILITY FOR OTHER REPAIRS. "
BW2 ,Sanitary Services HDPE (Gravity or Pressurized),,,,,,,,,,,,,,2008-2-28,Add identification notes and any other coments regarding locating. Also add reference to Birch Bay Water District requirements.,
CA  ,"HYDROCARBON LIQUID & VAPOR, NITROGEN, PROCESS AIR, AMMONIA, WASTE WATER, WATER",CL 150 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01 (see comment #1),(1) USE S-10 IF SPECIFIED ON P&ID.,,2008-1-12,"A. NO COPPER OR COPPER BEARING  ALLOYS PERMITTED IN AMMONIA SERVICE.  B. FOR AMMONIA SERVICE, USE SINGLE SEATED VALVES (E.G., GLOBE, ORBIT). DO NOT USE DOUBLE SEATED VALVES (E.G. GATE, TWIN SEAL).  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  D. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  E.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS, EXCEPT FOR VENTS AND DRAINS WHERE GATE VALVE SHOULD BE USED. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE  VALVE CODE NUMBERS ARE: V01700,V03710.   B. EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01525."
CA2 ,"MINERAL OIL, NITROGEN, PURIFIED NITROGEN, T2, CATALYST",CL 150 RF,ASME B16.5,650F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01, ,,2008-1-12,,
CAA ,HYDROCARBON LIQUID & VAPOR,CL 150 RF,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01,SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.   B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CAB ,H2 OR H2HC MIXTURES (H2 PARTIAL  PRESSURE 50 PSIA OR GREATER),CL 150 RF (125-250AARH),ASME B16.5,(GOVERNED BY API 941-NELSON CURVE),"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12CR/STEL,CMG / SPIRAL WOUND,B7 STUD,S-01 (see comment #2),(1) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE. (2) USE S-10 IF SPECIFIED ON P&ID.,,2009-2-10,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES, WHEN IT IS MORE ECONOMICAL.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  C. REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB","EXISTING 1 INCH AND LARGER PLUG VALVES MAY BE REPLACED WITH ORBIT VALVES, 3/4 INCH AND SMALLER PLUG VALVES REPLACE WITH GATE VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01707, V03711."
CAB2,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 150 RF (125-250AARH),ASME B16.5,750F (GOVERNED BY API 941-NELSON CURVE),"0.125""",CARBON STEEL,CL 3000/6000 SW,CARBON STEEL,12CR/STEL,CMG,B7 STUD,S-01 (see comment #1),(1) USE S-10 IF SPECIFIED ON P&ID.,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES, WHEN IT IS MORE ECONOMICAL.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CAC ,"HYDROCARBON LIQUID & VAPOR, DRY SOUR GAS, BRINE",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12CR/ STEL,CMG,B7 STUD,S-01 (see comment #2),(1) REFER TO CACN & CAC3.  (2) USE S-10 IF SPECIFIED ON P&ID.,,2009-2-11,"A. REFER TO CLASSES CACN, CAC2, AND CAC3 FOR OTHER SERVICES WHICH WERE ORIGINALLY PART OF THIS PIPE CLASS.  DURING ORIGINAL REFINERY DESIGN AND CONSTRUCTION, PIPE CLASS CAC WAS USED FOR SEVERAL ADDITIONAL SERVICES, WHICH HAVE SUBSEQUENTLY BEEN SPLIT-OFF TO OTHER PIPE CLASSES AS LISTED ABOVE.  THESE NEW PIPE CLASSES WERE ADDED FOR THE PURPOSE OF ADDING SPECIAL REQUIREMENTS FOR THOSE SERVICES, SUCH AS NACE VALVES AND PWHT.  CARE NEEDS TO BE TAKEN WHEN MODIFYING OR ADDING TO EXISTING CAC LINES TO MAKE SURE THAT THE CURRENT PIPE CLASS FOR THAT SERVICE IS USED.  B. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.   C. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  D.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB.","A.  WELD REPAIRS TO EXISTING LINES ORIGINALLY BUILT TO THIS LINE CLASS CONTAINING AMINE OR CAUSTIC SHALL BE STRESS RELIEVED, EXCEPT SOCKETWELDS ON LINES OPERATING AT 120F OR LESS, REGARDLESS OF STEAM-OUT CONDITIONS. CAUSTIC IS DEFINED AS 5 WT % OR GREATER.  B. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES 	SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01700, V03710.  C. EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01525."
CAC2,"RICH AMINE (MDEA, DEA, MEA)",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STEL,CMG,B7 STUD,S-01,(1) NACE REQUIRED. (2) PWHT FOR SERVICE.,,2009-2-11,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 2H NUTS.  C. ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED.  D. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  E. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.   F.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.  G.  THESE SERVICES WERE PREVIOUSLY IN LINE CLASS CAC.",
CAC3,"LEAN AMINES  (DEA, MEA, MDEA), CAUSTIC (FRESH or SOUR)",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01,(1) PWHT FOR SERVICE. (2) PREVIOUSLY CAC AND CAW.,,2008-1-12,"A. ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED.  B. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN AMINE SERVICE.  C. THESE SERVICES WERE PREVIOUSLY IN LINES CLASSES CAC AND CAW.   D. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.   E. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  F.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01700, V3710."
CACN,"SOUR WATER, WET SOUR GAS,  ACID GAS",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/  STELL.,CMG,B7 STUD,S-01,(1) NACE REQUIRED. (2) PREVIOUSLY CAC.,,2008-1-12,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 2H NUTS.  C. THESE SERVICES WERE PREVIOUSLY IN LINE CLASS CAC.  D. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.   E. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  ","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES  SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE  CODE NUMBERS ARE: V01701, V03702."
