Valve_No,Valve_Note,Valve_Manuf_Remarks,Last_Updt_Id,Last_Updt_Date
V01001,"1. VISUALLY EXAMINE CASTINGS PER MSS SP-55.  2. LIQUID PENETRANT EXAMINE EXTERIOR & ACCESSIBLE INTERIOR SURFACES OF BODY & BONNET BEFORE VALVE ASSEMBLY PER S3 OF ASTM A744. MAX. SIZE OF SURFACE INDICATION: LINEAR INDICATION, 1/16""; NONLINEAR INDICATION, 3/32"", FOUR OR MORE ROUNDED INDICATIONS IN A LINE SEPARATED BY 1/16"" OR LESS, EDGE TO EDGE.  3.RADIOGRAPHICALLY EXAMINE CRITICAL AREAS (AS DEFINED BY ASME B16.34) OF BODY & BONNET PER S2 OF ASTM A744. MAX. ACCEPTABLE SEVERITY LEVELS: GAS POROSITY, 2; SAND & SLAG INCLUSION, 3; SHRINKAGE (FOUR TYPES), 2. CRACK, HOT TEAR, AND INSERT, ARE NOT ALLOWED.  4. FURNISH CERTIFIED MATERIAL TEST REPORT.  5. SURFACE CARBON ANALYSIS MAY BE OMITTED IF CHROMITE SAND IS USED IN PROCESS.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,COBBS2  ,2002-11-12
V01002,"1. VISUALLY EXAMINE CASTING PER MSS SP-55.   2. LIQUID PENETRANT EXAMINE EXTERIOR & ACCESSIBLE INTERIOR SURFACES OF BODY & BONNET BEFORE VALVE ASSEMBLY PER S3 OF ASTM A744. MAX. SIZE OF SURFACE INDICATION: LINEAR INDICATION, 1/16""; NONLINEAR INDICATION, 3/32""; FOUR OR MORE ROUNDED INDICATIONS IN A LINE SEPARATED BY 1/16"" OR LESS, EDGE TO EDGE.  3. RADIOGRAPHICALLY EXAMINE CRITICAL AREAS (AS DEFINED BY ASME B16.34) OF BODY & BONNET PER S2 OF ASTM A744. MAX. ACCEPTABLE SEVERITY LEVELS: GAS POROSITY, 2; SAND & SLAG INCLUSION, 3; SHRINKAGE (FOUR TYPES), 2. CRACK, HOT TEAR, AND INSERT, ARE NOT ALLOWED.  4. FURNISH CERTIFIED MATERIAL TEST REPORT.  5. SURFACE CARBON ANALYSIS MAY BE OMITTED IF CHROMITE SAND IS USED IN PROCESS.        ",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,NEUHKM  ,2007-6-18
V01003,, ,MARTD6  ,2007-12-5
V01004,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
V01005,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
V01006,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
V01007,,DISCONTINUED,,
V01008,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-2-22
V01009,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-18
V01010,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,LOOMT0  ,2008-12-31
V01011,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-11-30
V01012,"VALVES SHALL COMPLY WITH NACE MR0103, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS.  NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,MARTD6  ,2007-12-3
V01013,"VALVES SHALL COMPLY WITH NACE MR0103, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS.  NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,MARTD6  ,2007-12-3
V01014,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-2-22
V01015,,,PCSSME  ,1999-4-19
V01016,None,,PCSSME  ,1999-4-19
V01017,,"(1) 2"" to 20"" ONLY.  * PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE",PCSSME  ,1999-2-22
V01018,,,PCSSME  ,1999-7-19
V01019,,,PCSSME  ,1999-7-19
V01020,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-18
V01021,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE 5/32"" PRESSURE RELIEF HOLE ON THE SEAT SHALL BE ON THE HIGH PRESSURE SIDE OF THE VALVE. THE VALVE BODY FLANGE ON THE HIGH PRESSURE SIDE OF THE VALVE SHALL HAVE THE EDGE MARKED WITH A PERMANENT ""HPE"" AT THREE EQUALLY SPACED POINTS.  3. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-21
V01022,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-5-10
V01023,,,PCSSME  ,1999-7-12
V01030,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-10-26
V01031,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE 5/32"" PRESSURE RELIEF HOLE ON THE SEAT SHALL BE ON THE HIGH PRESSURE SIDE OF THE VALVE. THE VALVE BONNET FLANGE ON THE HIGH PRESSURE SIDE OF THE VALVE SHALL HAVE THE EDGE MARKED WITH A PERMANENT ""HPE"" AT THREE EQUALLY SPACED POINTS.  3. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-21
V01032,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE 5/32"" PRESSURE RELIEF HOLE ON THE SEAT SHALL BE ON THE HIGH PRESSURE SIDE OF THE VALVE. THE VALVE BONNET FLANGE ON THE HIGH PRESSURE SIDE OF THE VALVE SHALL HAVE THE EDGE MARKED WITH A PERMANENT ""HPE"" AT THREE EQUALLY SPACED POINTS.  3. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-21
V01033,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F317L, may be substituted.",,PCSSME  ,1999-7-21
V01034,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F317L, may be substituted.",,PCSSME  ,1999-7-21
V01035,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",(1) Class 800 (2) Class 200  * PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
V01036,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",(1) CLASS 800  * PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-22
V01040,,,PCSSME  ,1999-4-19
V01045,,PASSED ARCO FUGITIVE EMISSION TEST PROCEDURE,PCSSME  ,1999-7-21
V01046,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-7-21
V01050,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-29
V01051,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
V01053,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01054,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01060,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-22
V01080,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-22
V01100,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
V01150,"VALVE SHALL BE PREPARED AND SHIPPED FOR ""OXYGEN SERVICE"". ",,PCSSME  ,1998-9-4
V01160,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-2-22
V01161,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01162,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  ",,PCSSME  ,1999-2-22
V01163,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01165,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. VALVES SHALL COMPLY WITH NACE MR0103, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS.  NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED.  ",,MARTD6  ,2007-12-3
V01166,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.    2.VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY  BE TO ASTM A193 GR B7  WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED.  3. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01167,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  2.VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY  BE TO ASTM A193 GR B7  WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT  REQUIRED TO BE  SUBMITTED.",,PCSSME  ,1999-2-22
V01168,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.    2. VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY  BE TO ASTM A193 GR B7  WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED.  3. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.  ",,PCSSME  ,1999-5-4
V01169,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR B7  WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED.  3. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01171,,,PCSSME  ,1999-7-7
V01172,,,PCS41CR ,1997-8-25
V01173,,,PCSSME  ,1999-7-7
V01174,,,PCSSME  ,1999-7-7
V01175,,,PCSSME  ,1999-4-19
V01176,,,PCSSME  ,1999-4-19
V01177,,,PCSSME  ,1999-4-19
V01178,,,PCSSME  ,1999-4-19
V01179,,,PCSSME  ,1999-4-19
V01180,,,PCSSME  ,1999-4-19
V01300,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01301,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01302,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01303,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-19
V01304,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE 5/32"" PRESSURE RELIEF HOLE ON THE SEAT SHALL BE ON THE HIGH PRESSURE SIDE OF THE VALVE. THE VALVE BODY FLANGE ON THE HIGH PRESSURE SIDE OF THE VALVE SHALL HAVE THE EDGE MARKED WITH A PERMANENT ""HPE"" AT THREE EQUALLY SPACED POINTS. ",,PCSSME  ,1999-7-21
V01350,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-4-19
V01351,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-4-19
V01352,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-2-19
V01353,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-2-19
V01357,, ,MARTD6  ,2007-11-13
V01360,,(W/SEAL WELD BONNET OPTION),THOM1J  ,2005-1-31
V01400,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
V01401,"1. VISUALLY EXAMINE CASTINGS PER MSS SP-55.  2. LIQUID PENETRANT EXAMINE EXTERIOR & ACCESSIBLE INTERIOR SURFACES OF BODY & BONNET BEFORE VALVE ASSEMBLY PER S3 OF ASTM A744. MAX. SIZE OF SURFACE INDICATION: LINEAR INDICATION, 1/16""; NONLINEAR INDICATION, 3/32""; FOUR OR MORE ROUNDED INDCATIONS IN A LINE SEPARATED BY 1/16"" OR LESS, EDGE TO EDGE.  3. RADIOGRAPHICALLY EXAMINE CRITICAL AREAS (AS DEFINED BY ASME B16.34) OF BODY & BONNET PER S2 OF ASTM A744. MAX. ACCEPTABLE SEVERITY LEVELS: GAS POROSITY, 2; SAND & SLAG INCLUSION, 3; SHRINKAGE (FOUR TYPES), 2. CRACK, HOT TEAR, AND INSERT, ARE NOT ALLOWED.  4. FURNISH CERTIFIED MATERIAL TEST REPORT.  5. SURFACE CARBON ANALYSIS MAY BE OMITTED IF CHROMITE SAND IS USED IN PROCESS.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,COBBS2  ,2002-11-12
V01402,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-30
V01403,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-11-16
V01404,"Forged stainless steel, ASTM A182 Grade F316L, may be substituted.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE (1) API CLASS 800,PCSSME  ,1999-2-22
V01405,"VALVES SHALL COMPLY WITH NACE MR0103, EXCEPT BONNET BOLTING MAY BE TO ASTM A193 GR. B7 WITH 2H NUTS.  NACE CERTIFICATION PAPER IS NOT REQUIRED TO BE SUBMITTED.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,MARTD6  ,2007-12-3
V01406,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-21
V01407,,,PCSSME  ,1999-7-21
V01408,,,PCSSME  ,1999-7-12
V01409,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-18
V01410,None,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-22
V01411,,,PCSSME  ,1999-7-19
V01412,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-21
V01413,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-7-21
V01414,,,PCSSME  ,1999-7-19
V01415,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-2-22
V01416,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1999-2-22
V01420,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-11-30
V01421,ASTM A351 GR. CG8M CASTING IS ACCEPTABLE PROVIDED THAT WRITTEN CERTIFICATION IS PROVIDED THAT WELD REPAIRS WERE PERFORMED PER ASTM A744 OR NO WELD REPAIR IS MADE.,,PCSSME  ,1999-7-21
V01430,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-22
V01435,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
V01436,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1999-2-22
